,Date,Actual,Consensus,Difference
0,2023-11-16 15:30:00,231.0,220.0,11.000000
1,2023-11-09 15:30:00,217.0,215.0,2.000000
2,2023-11-02 15:30:00,217.0,210.0,7.000000
3,2023-10-26 15:30:00,210.0,208.0,2.000000
4,2023-10-19 15:30:00,198.0,212.0,-14.000000
5,2023-10-12 15:30:00,209.0,210.0,-1.000000
6,2023-10-05 15:30:00,207.0,210.0,-3.000000
7,2023-09-28 15:30:00,204.0,215.0,-11.000000
8,2023-09-21 15:30:00,201.0,225.0,-24.000000
9,2023-09-14 15:30:00,220.0,225.0,-5.000000
10,2023-09-07 15:30:00,216.0,234.0,-18.000000
11,2023-08-31 15:30:00,228.0,235.0,-7.000000
12,2023-08-24 15:30:00,230.0,240.0,-10.000000
13,2023-08-17 15:30:00,239.0,240.0,-1.000000
14,2023-08-10 15:30:00,248.0,230.0,18.000000
15,2023-08-03 15:30:00,227.0,227.0,0.000000
16,2023-07-27 15:30:00,221.0,235.0,-14.000000
17,2023-07-20 15:30:00,228.0,242.0,-14.000000
18,2023-07-13 15:30:00,237.0,250.0,-13.000000
19,2023-07-06 15:30:00,248.0,245.0,3.000000
20,2023-06-29 15:30:00,239.0,266.0,-27.000000
21,2023-06-22 15:30:00,264.0,260.0,4.000000
22,2023-06-15 15:30:00,262.0,250.0,12.000000
23,2023-06-08 15:30:00,261.0,235.0,26.000000
24,2023-06-01 15:30:00,232.0,235.0,-3.000000
25,2023-05-25 15:30:00,229.0,250.0,-21.000000
26,2023-05-18 15:30:00,242.0,254.0,-12.000000
27,2023-05-11 15:30:00,264.0,245.0,19.000000
28,2023-05-04 15:30:00,242.0,240.0,2.000000
29,2023-04-27 15:30:00,230.0,248.0,-18.000000
30,2023-04-20 15:30:00,245.0,240.0,5.000000
31,2023-04-13 15:30:00,239.0,232.0,7.000000
32,2023-04-06 15:30:00,228.0,200.0,28.000000
33,2023-03-30 15:30:00,198.0,196.0,2.000000
34,2023-03-23 15:30:00,191.0,197.0,-6.000000
35,2023-03-16 15:30:00,192.0,205.0,-13.000000
36,2023-03-09 15:30:00,211.0,195.0,16.000000
37,2023-03-02 15:30:00,190.0,195.0,-5.000000
38,2023-02-23 15:30:00,192.0,200.0,-8.000000
39,2023-02-16 15:30:00,194.0,200.0,-6.000000
40,2023-02-09 15:30:00,196.0,190.0,6.000000
41,2023-02-02 15:30:00,183.0,200.0,-17.000000
42,2023-01-26 15:30:00,186.0,205.0,-19.000000
43,2023-01-19 15:30:00,190.0,214.0,-24.000000
44,2023-01-12 15:30:00,205.0,215.0,-10.000000
45,2023-01-05 15:30:00,204.0,225.0,-21.000000
46,2022-12-29 15:30:00,225.0,225.0,0.000000
47,2022-12-22 15:30:00,216.0,222.0,-6.000000
