,Date,Actual,Consensus,Difference
0,2023-11-01 21:00:00,5.5,5.5,0.000000
1,2023-09-20 21:00:00,5.5,5.5,0.000000
2,2023-07-26 21:00:00,5.5,5.5,0.000000
3,2023-06-14 21:00:00,5.25,5.25,0.000000
4,2023-05-03 21:00:00,5.25,5.25,0.000000
5,2023-03-22 21:00:00,5.0,5.0,0.000000
6,2023-02-01 21:00:00,4.75,4.75,0.000000
7,2022-12-14 21:00:00,4.5,4.5,0.000000
8,2022-11-02 21:00:00,4.0,4.0,0.000000
9,2022-09-21 21:00:00,3.25,3.25,0.000000
10,2022-07-27 21:00:00,2.5,2.5,0.000000
11,2022-06-15 21:00:00,1.75,1.5,0.250000
12,2022-05-04 21:00:00,1.0,1.0,0.000000
13,2022-03-16 21:00:00,0.5,0.5,0.000000
14,2022-01-26 21:00:00,0.25,0.25,0.000000
15,2021-12-15 21:00:00,0.25,0.25,0.000000
16,2021-11-03 21:00:00,0.25,0.25,0.000000
17,2021-09-22 21:00:00,0.25,0.25,0.000000
18,2021-07-28 21:00:00,0.25,0.25,0.000000
19,2021-06-16 21:00:00,0.25,0.25,0.000000
20,2021-04-28 21:00:00,0.25,0.25,0.000000
21,2021-03-17 21:00:00,0.25,0.25,0.000000
22,2021-01-27 21:00:00,0.25,0.25,0.000000
23,2020-12-16 21:00:00,0.25,0.25,0.000000
24,2020-11-05 21:00:00,0.25,0.25,0.000000
25,2020-09-16 21:00:00,0.25,0.25,0.000000
26,2020-07-29 21:00:00,0.25,0.25,0.000000
27,2020-06-10 21:00:00,0.25,0.25,0.000000
28,2020-04-29 21:00:00,0.25,0.25,0.000000
29,2020-01-29 21:00:00,1.75,1.75,0.000000
30,2019-12-11 21:00:00,1.75,1.75,0.000000
31,2019-10-30 21:00:00,1.75,1.75,0.000000
32,2019-09-18 21:00:00,2.0,2.0,0.000000
33,2019-07-31 21:00:00,2.25,2.25,0.000000
34,2019-06-19 21:00:00,2.5,2.5,0.000000
35,2019-05-01 21:00:00,2.5,2.5,0.000000
36,2019-03-20 21:00:00,2.5,2.5,0.000000
37,2019-01-30 21:00:00,2.5,2.5,0.000000
38,2018-12-19 21:00:00,2.5,2.5,0.000000
39,2018-11-08 21:00:00,2.25,2.25,0.000000
40,2018-09-26 21:00:00,2.25,2.25,0.000000
41,2018-08-01 21:00:00,2.0,2.0,0.000000
42,2018-06-13 21:00:00,2.0,2.0,0.000000
43,2018-05-02 21:00:00,1.75,1.75,0.000000
44,2018-03-21 21:00:00,1.75,1.75,0.000000
45,2018-01-31 21:00:00,1.5,1.5,0.000000
46,2017-12-13 21:00:00,1.5,1.5,0.000000
47,2017-11-01 21:00:00,1.25,1.25,0.000000
48,2017-09-20 21:00:00,1.25,1.25,0.000000
49,2017-07-26 21:00:00,1.25,1.25,0.000000
