,Date,Actual,Consensus,Difference
0,2023-11-01 17:00:00,9.553,9.25,0.303000
1,2023-10-03 17:00:00,9.61,8.8,0.810000
2,2023-08-29 17:00:00,8.827,9.465,-0.638000
3,2023-08-01 17:00:00,9.582,9.61,-0.028000
4,2023-07-06 17:00:00,9.824,9.935,-0.111000
5,2023-05-31 17:00:00,10.103,9.775,0.328000
6,2023-05-02 17:00:00,9.59,9.775,-0.185000
7,2023-04-04 17:00:00,9.931,10.4,-0.469000
8,2023-03-08 17:00:00,10.824,10.5,0.324000
9,2023-02-01 17:00:00,11.012,10.25,0.762000
10,2023-01-04 17:00:00,10.458,10.0,0.458000
11,2022-11-30 17:00:00,10.334,10.3,0.034000
12,2022-11-01 17:00:00,10.717,10.0,0.717000
13,2022-10-04 17:00:00,10.053,10.775,-0.722000
14,2022-08-30 17:00:00,11.239,10.475,0.764000
15,2022-08-02 17:00:00,10.698,11.0,-0.302000
16,2022-07-06 17:00:00,11.254,11.0,0.254000
17,2022-06-01 17:00:00,11.4,11.4,0.000000
18,2022-05-03 17:00:00,11.549,11.0,0.549000
19,2022-03-29 17:00:00,11.266,11.0,0.266000
20,2022-03-09 17:00:00,11.263,10.925,0.338000
21,2022-02-01 17:00:00,10.925,10.3,0.625000
22,2022-01-04 17:00:00,10.562,11.075,-0.513000
23,2021-12-08 17:00:00,11.033,10.369,0.664000
24,2021-11-12 17:00:00,10.438,10.3,0.138000
25,2021-10-12 17:00:00,10.439,10.925,-0.486000
26,2021-09-08 17:00:00,10.934,10.0,0.934000
27,2021-08-09 17:00:00,10.073,9.281,0.792000
28,2021-07-07 17:00:00,9.209,9.388,-0.179000
29,2021-06-08 17:00:00,9.286,8.3,0.986000
30,2021-05-11 17:00:00,8.123,7.5,0.623000
31,2021-04-06 17:00:00,7.367,6.995,0.372000
32,2021-03-11 17:00:00,6.917,6.6,0.317000
33,2021-02-09 17:00:00,6.646,6.5,0.146000
34,2020-12-09 17:00:00,6.652,6.3,0.352000
35,2020-11-10 17:00:00,6.436,6.5,-0.064000
36,2020-10-06 17:00:00,6.493,6.685,-0.192000
37,2020-09-09 17:00:00,6.618,6.0,0.618000
38,2020-07-07 17:00:00,5.397,4.85,0.547000
39,2020-06-09 17:00:00,5.046,5.0,0.046000
40,2020-04-07 17:00:00,6.882,6.6,0.282000
41,2020-03-17 17:00:00,6.963,6.476,0.487000
42,2020-02-11 17:00:00,6.423,7.0,-0.577000
43,2020-01-17 17:00:00,6.8,7.233,-0.433000
44,2019-12-17 17:00:00,7.267,7.018,0.249000
45,2019-11-05 17:00:00,7.024,7.028,-0.004000
46,2019-10-09 17:00:00,7.051,7.191,-0.140000
47,2019-09-10 17:00:00,7.217,7.311,-0.094000
48,2019-08-06 17:00:00,7.348,7.45,-0.102000
49,2019-07-09 17:00:00,7.323,7.47,-0.147000
50,2019-06-10 17:00:00,7.449,7.479,-0.030000
51,2019-05-07 17:00:00,7.488,7.35,0.138000
52,2019-04-09 17:00:00,7.087,7.55,-0.463000
53,2019-03-15 17:00:00,7.581,7.31,0.271000
54,2019-02-12 17:00:00,7.335,6.9,0.435000
55,2019-01-08 17:00:00,6.888,7.063,-0.175000
56,2018-12-10 17:00:00,7.079,7.22,-0.141000
57,2018-11-06 17:00:00,7.009,7.1,-0.091000
58,2018-10-16 17:00:00,7.136,6.945,0.191000
59,2018-09-11 17:00:00,6.939,6.646,0.293000
60,2018-08-07 17:00:00,6.662,6.74,-0.078000
61,2018-07-10 17:00:00,6.638,6.583,0.055000
62,2018-06-05 17:00:00,6.698,6.49,0.208000
63,2018-05-08 17:00:00,6.55,6.02,0.530000
64,2018-04-13 17:00:00,6.052,6.11,-0.058000
65,2018-03-16 17:00:00,6.312,5.89,0.422000
66,2018-02-06 17:00:00,5.811,5.95,-0.139000
67,2018-01-09 17:00:00,5.879,6.038,-0.159000
68,2017-12-11 17:00:00,5.996,6.03,-0.034000
69,2017-11-07 17:00:00,6.093,6.091,0.002000
70,2017-10-11 17:00:00,6.082,6.125,-0.043000
71,2017-09-12 17:00:00,6.17,5.96,0.210000
72,2017-08-08 17:00:00,6.163,5.775,0.388000
73,2017-07-11 17:00:00,5.666,5.95,-0.284000
74,2017-06-06 17:00:00,6.044,5.65,0.394000
75,2017-05-09 17:00:00,5.743,5.67,0.073000
76,2017-04-11 17:00:00,5.743,5.655,0.088000
77,2017-03-16 17:00:00,5.626,5.45,0.176000
78,2017-02-07 17:00:00,5.501,5.568,-0.067000
79,2017-01-10 17:00:00,5.522,5.555,-0.033000
80,2016-12-07 17:00:00,5.534,5.5,0.034000
81,2016-11-08 17:00:00,5.486,5.508,-0.022000
82,2016-10-12 17:00:00,5.443,5.724,-0.281000
83,2016-09-07 17:00:00,5.871,5.58,0.291000
84,2016-08-10 17:00:00,5.624,5.574,0.050000
85,2016-07-12 17:00:00,5.5,5.7,-0.200000
86,2016-06-08 17:00:00,5.788,5.672,0.116000
87,2016-05-10 17:00:00,5.757,5.431,0.326000
88,2016-04-05 17:00:00,5.445,5.5,-0.055000
89,2016-03-17 17:00:00,5.541,5.5,0.041000
90,2016-02-09 17:00:00,5.607,5.4,0.207000
91,2016-01-12 17:00:00,5.431,5.41,0.021000
92,2015-12-08 17:00:00,5.383,5.5,-0.117000
93,2015-11-12 17:00:00,5.53,5.37,0.160000
94,2015-10-16 17:00:00,5.37,5.625,-0.255000
95,2015-09-09 17:00:00,5.753,5.288,0.465000
96,2015-08-12 17:00:00,5.249,5.3,-0.051000
97,2015-07-07 17:00:00,5.363,5.35,0.013000
98,2015-06-09 17:00:00,5.376,5.03,0.346000
99,2015-05-12 17:00:00,4.994,5.085,-0.091000
100,2015-04-07 17:00:00,5.133,5.01,0.123000
101,2015-03-10 17:00:00,4.998,5.053,-0.055000
102,2015-02-10 17:00:00,5.028,4.99,0.038000
