,Date,Actual,Consensus,Difference
0,2023-11-01 17:00:00,46.8,50.3,-3.500000
1,2023-10-02 17:00:00,51.2,48.3,2.900000
2,2023-09-01 17:00:00,48.5,44.2,4.300000
3,2023-08-01 17:00:00,44.4,48.0,-3.600000
4,2023-07-03 17:00:00,48.1,50.8,-2.700000
5,2023-06-01 17:00:00,51.4,48.5,2.900000
6,2023-05-01 17:00:00,50.2,47.9,2.300000
7,2023-04-03 17:00:00,46.9,50.0,-3.100000
8,2023-02-01 17:00:00,50.6,49.0,1.600000
9,2023-01-04 17:00:00,51.4,48.3,3.100000
10,2022-11-01 17:00:00,50.0,53.0,-3.000000
11,2022-10-03 17:00:00,48.7,53.0,-4.300000
12,2022-09-01 17:00:00,54.2,49.0,5.200000
13,2022-06-01 17:00:00,49.6,56.0,-6.400000
14,2022-05-02 17:00:00,50.9,56.0,-5.100000
15,2022-02-01 17:00:00,54.5,53.5,1.000000
16,2022-01-04 17:00:00,54.2,53.5,0.700000
17,2021-06-01 17:00:00,50.9,61.5,-10.600000
18,2021-05-03 17:00:00,55.1,61.5,-6.400000
19,2021-04-01 17:00:00,59.6,53.0,6.600000
20,2021-03-01 17:00:00,54.4,53.0,1.400000
21,2020-10-01 17:00:00,49.6,45.8,3.800000
22,2020-09-01 17:00:00,46.4,45.8,0.600000
23,2020-08-03 17:00:00,44.3,48.3,-4.000000
24,2020-07-01 17:00:00,42.1,43.0,-0.900000
25,2020-06-01 17:00:00,32.1,35.0,-2.900000
26,2020-05-01 17:00:00,27.5,37.0,-9.500000
27,2020-04-01 17:00:00,43.8,43.6,0.200000
28,2020-03-02 17:00:00,46.9,46.6,0.300000
29,2020-02-03 17:00:00,46.6,46.6,0.000000
30,2019-11-01 17:00:00,47.7,46.4,1.300000
31,2019-08-01 17:00:00,51.7,53.4,-1.700000
32,2019-07-01 17:00:00,54.5,52.8,1.700000
33,2019-06-03 17:00:00,53.7,52.5,1.200000
34,2019-05-01 17:00:00,52.4,55.8,-3.400000
35,2019-04-01 17:00:00,57.5,52.4,5.100000
36,2018-12-03 17:00:00,58.4,56.5,1.900000
37,2018-11-01 17:00:00,56.8,57.5,-0.700000
38,2018-10-01 17:00:00,58.8,58.1,0.700000
39,2018-09-04 17:00:00,58.5,56.0,2.500000
40,2018-08-01 17:00:00,56.5,56.0,0.500000
41,2018-07-02 17:00:00,56.0,57.0,-1.000000
42,2018-06-01 17:00:00,56.3,54.5,1.800000
43,2018-05-01 17:00:00,54.2,57.0,-2.800000
44,2018-04-02 17:00:00,57.3,54.5,2.800000
45,2018-03-01 17:00:00,59.7,57.0,2.700000
46,2018-02-01 17:00:00,54.2,57.0,-2.800000
47,2018-01-03 17:00:00,57.0,59.0,-2.000000
48,2017-12-01 17:00:00,59.7,60.0,-0.300000
49,2017-11-01 17:00:00,59.8,60.0,-0.200000
50,2017-10-02 17:00:00,60.3,58.0,2.300000
51,2017-09-01 17:00:00,59.9,54.0,5.900000
52,2017-08-01 17:00:00,55.2,55.1,0.100000
53,2017-07-03 17:00:00,57.2,53.3,3.900000
54,2017-06-01 17:00:00,53.5,52.8,0.700000
55,2017-05-01 17:00:00,52.0,56.0,-4.000000
56,2017-04-03 17:00:00,58.9,54.8,4.100000
57,2017-03-01 17:00:00,54.2,55.9,-1.700000
58,2017-02-01 17:00:00,56.1,53.1,3.000000
59,2017-01-03 17:00:00,53.1,52.5,0.600000
60,2016-12-01 17:00:00,52.3,52.3,0.000000
61,2016-11-01 17:00:00,52.9,50.0,2.900000
62,2016-10-03 17:00:00,49.7,49.0,0.700000
63,2016-09-01 17:00:00,48.3,49.6,-1.300000
64,2016-08-01 17:00:00,49.4,50.3,-0.900000
65,2016-07-01 17:00:00,50.4,49.0,1.400000
66,2016-06-01 17:00:00,49.2,49.7,-0.500000
67,2016-05-02 17:00:00,49.2,49.0,0.200000
68,2016-04-01 17:00:00,48.1,49.5,-1.400000
69,2016-03-01 17:00:00,48.5,46.4,2.100000
70,2016-02-01 17:00:00,45.9,48.0,-2.100000
71,2016-01-04 17:00:00,48.1,49.7,-1.600000
72,2015-12-01 17:00:00,51.3,48.4,2.900000
73,2015-11-02 17:00:00,47.6,50.1,-2.500000
74,2015-10-01 17:00:00,50.5,50.7,-0.200000
75,2015-09-01 17:00:00,51.2,55.0,-3.800000
76,2015-08-03 16:25:00,52.7,54.7,-2.000000
77,2015-07-01 17:00:00,55.5,52.0,3.500000
78,2015-06-01 17:00:00,51.7,49.2,2.500000
79,2015-05-01 17:00:00,48.3,50.2,-1.900000
80,2015-04-01 17:00:00,50.0,51.9,-1.900000
81,2015-03-02 17:00:00,51.4,54.0,-2.600000
82,2015-02-02 17:00:00,54.1,56.0,-1.900000
83,2015-01-02 17:00:00,56.8,54.8,2.000000
84,2014-11-03 17:00:00,55.5,54.8,0.700000
85,2014-10-01 17:00:00,54.6,57.5,-2.900000
86,2014-09-02 17:00:00,58.1,58.4,-0.300000
87,2014-08-01 17:00:00,58.2,53.0,5.200000
88,2014-07-01 17:00:00,52.8,53.2,-0.400000
89,2014-06-02 17:00:00,52.8,55.0,-2.200000
90,2014-05-01 17:00:00,54.7,52.8,1.900000
91,2014-04-01 17:00:00,51.1,52.8,-1.700000
92,2014-03-03 17:00:00,52.3,52.0,0.300000
93,2014-02-03 17:00:00,52.3,55.8,-3.500000
94,2014-01-02 17:00:00,56.9,56.8,0.100000
95,2013-12-02 17:00:00,56.5,53.5,3.000000
96,2013-11-01 17:00:00,53.2,54.3,-1.100000
