,Date,Actual,Consensus,Difference
0,2023-11-15 15:30:00,9.1,-2.8,11.900000
1,2023-10-16 15:30:00,-4.6,-7.0,2.400000
2,2023-09-15 15:30:00,1.9,-10.0,11.900000
3,2023-08-15 15:30:00,-19.0,-1.0,-18.000000
4,2023-07-17 15:30:00,1.1,-4.3,5.400000
5,2023-06-15 15:30:00,6.6,-16.0,22.600000
6,2023-05-15 15:30:00,-31.8,-3.7,-28.100000
7,2023-04-17 15:30:00,10.8,-18.0,28.800000
8,2023-03-15 15:30:00,-24.6,-8.0,-16.600000
9,2023-02-15 15:30:00,-5.8,-18.0,12.200000
10,2023-01-17 15:30:00,-32.9,-8.7,-24.200000
11,2022-12-15 15:30:00,-11.2,-1.0,-10.200000
12,2022-11-15 15:30:00,4.5,-5.0,9.500000
13,2022-10-17 15:30:00,-9.1,-4.0,-5.100000
14,2022-09-15 15:30:00,-1.5,-13.0,11.500000
15,2022-08-15 15:30:00,-31.3,5.5,-36.800000
16,2022-07-15 15:30:00,11.1,-2.0,13.100000
17,2022-06-15 15:30:00,-1.2,3.0,-4.200000
18,2022-05-16 15:30:00,-11.6,17.0,-28.600000
19,2022-04-15 15:30:00,24.6,0.5,24.100000
20,2022-03-15 15:30:00,-11.8,7.0,-18.800000
21,2022-02-15 15:30:00,3.1,12.15,-9.050000
22,2022-01-18 15:30:00,-0.7,25.7,-26.400000
23,2021-12-15 15:30:00,31.9,25.0,6.900000
24,2021-11-15 15:30:00,30.9,21.6,9.300000
25,2021-10-15 15:30:00,19.8,27.0,-7.200000
26,2021-09-15 15:30:00,34.3,18.0,16.300000
27,2021-08-16 15:30:00,18.3,29.0,-10.700000
28,2021-07-15 15:30:00,43.0,18.0,25.000000
29,2021-06-15 15:30:00,17.4,23.0,-5.600000
30,2021-05-17 15:30:00,24.3,23.9,0.400000
31,2021-04-15 15:30:00,26.3,19.5,6.800000
32,2021-03-15 15:30:00,17.4,14.5,2.900000
33,2021-02-16 15:30:00,12.1,6.0,6.100000
34,2021-01-15 15:30:00,3.5,6.0,-2.500000
35,2020-12-15 15:30:00,4.9,6.9,-2.000000
36,2020-11-16 15:30:00,6.3,13.5,-7.200000
37,2020-10-15 15:30:00,10.5,15.0,-4.500000
38,2020-09-15 15:30:00,17.0,6.0,11.000000
39,2020-08-17 15:30:00,3.7,15.0,-11.300000
40,2020-07-15 15:30:00,17.2,10.0,7.200000
41,2020-06-15 15:30:00,-0.2,-27.5,27.300000
42,2020-05-15 15:30:00,-48.5,-63.5,15.000000
43,2020-04-15 15:30:00,-78.2,-35.0,-43.200000
44,2020-03-16 15:30:00,-21.5,4.0,-25.500000
45,2020-02-18 15:30:00,12.9,5.0,7.900000
46,2020-01-15 15:30:00,4.8,3.55,1.250000
47,2019-12-16 15:30:00,3.5,4.0,-0.500000
48,2019-11-15 15:30:00,2.9,5.0,-2.100000
49,2019-10-15 15:30:00,4.0,1.0,3.000000
50,2019-09-16 15:30:00,2.0,4.0,-2.000000
51,2019-08-15 15:30:00,4.8,3.0,1.800000
52,2019-07-15 15:30:00,4.3,1.6,2.700000
53,2019-06-17 15:30:00,-8.6,11.0,-19.600000
54,2019-05-15 15:30:00,17.8,8.2,9.600000
55,2019-04-15 15:30:00,10.1,6.7,3.400000
56,2019-03-15 15:30:00,3.7,10.0,-6.300000
57,2019-02-15 15:30:00,8.8,7.1,1.700000
58,2019-01-15 15:30:00,3.9,10.75,-6.850000
59,2018-12-17 15:30:00,10.9,20.1,-9.200000
60,2018-11-15 15:30:00,23.3,19.3,4.000000
61,2018-10-15 15:30:00,21.1,20.4,0.700000
62,2018-09-17 15:30:00,19.0,23.2,-4.200000
63,2018-08-15 15:30:00,25.6,20.3,5.300000
64,2018-07-16 15:30:00,22.6,22.0,0.600000
65,2018-06-15 15:30:00,25.0,19.1,5.900000
66,2018-05-15 15:30:00,20.1,15.1,5.000000
67,2018-04-16 15:30:00,15.8,18.8,-3.000000
68,2018-03-15 15:30:00,22.5,15.2,7.300000
69,2018-02-15 15:30:00,13.1,17.5,-4.400000
70,2018-01-16 15:30:00,17.7,18.0,-0.300000
71,2017-12-15 15:30:00,18.0,18.6,-0.600000
72,2017-11-15 15:30:00,19.4,26.0,-6.600000
73,2017-10-16 15:30:00,30.2,20.7,9.500000
74,2017-09-15 15:30:00,24.4,19.0,5.400000
75,2017-08-15 15:30:00,25.2,10.0,15.200000
76,2017-07-17 15:30:00,9.8,15.0,-5.200000
77,2017-06-15 15:30:00,19.8,4.0,15.800000
78,2017-05-15 15:30:00,-1.0,7.0,-8.000000
