,Date,Actual,Consensus,Difference
0,2023-11-01 17:00:00,45.1,45.0,0.100000
1,2023-10-02 17:00:00,43.8,48.6,-4.800000
2,2023-09-01 17:00:00,48.4,43.9,4.500000
3,2023-08-01 17:00:00,42.6,42.8,-0.200000
4,2023-07-03 17:00:00,41.8,44.0,-2.200000
5,2023-06-01 17:00:00,44.2,52.0,-7.800000
6,2023-05-01 17:00:00,53.2,49.0,4.200000
7,2023-04-03 17:00:00,49.2,51.2,-2.000000
8,2023-03-01 17:00:00,51.3,45.1,6.200000
9,2023-02-01 17:00:00,44.5,39.5,5.000000
10,2023-01-04 17:00:00,39.4,42.6,-3.200000
11,2022-12-01 17:00:00,43.0,47.5,-4.500000
12,2022-11-01 17:00:00,46.6,52.5,-5.900000
13,2022-10-03 17:00:00,51.7,51.9,-0.200000
14,2022-09-01 17:00:00,52.5,55.5,-3.000000
15,2022-08-01 17:00:00,60.0,74.3,-14.300000
16,2022-07-01 17:00:00,78.5,81.0,-2.500000
17,2022-06-01 17:00:00,82.2,83.0,-0.800000
18,2022-05-02 17:00:00,84.6,87.5,-2.900000
19,2022-04-01 17:00:00,87.1,80.0,7.100000
20,2022-03-01 17:00:00,75.6,68.1,7.500000
21,2022-02-01 17:00:00,76.1,68.1,8.000000
22,2022-01-04 17:00:00,68.2,79.5,-11.300000
23,2021-12-01 17:00:00,82.4,85.5,-3.100000
24,2021-11-01 17:00:00,85.7,78.5,7.200000
25,2021-10-01 17:00:00,81.2,78.5,2.700000
26,2021-09-01 17:00:00,79.4,83.8,-4.400000
27,2021-07-01 17:00:00,92.1,86.5,5.600000
28,2021-06-01 17:00:00,88.0,89.8,-1.800000
29,2021-05-03 17:00:00,89.6,86.1,3.500000
30,2021-04-01 17:00:00,85.6,85.0,0.600000
31,2021-03-01 17:00:00,86.0,80.0,6.000000
32,2021-02-01 17:00:00,82.1,77.0,5.100000
33,2021-01-05 17:00:00,77.6,65.7,11.900000
34,2020-12-01 17:00:00,65.4,65.0,0.400000
35,2020-11-02 17:00:00,65.5,60.0,5.500000
36,2020-10-01 17:00:00,62.8,58.6,4.200000
37,2020-09-01 17:00:00,59.5,54.0,5.500000
38,2020-08-03 17:00:00,53.2,52.0,1.200000
39,2020-07-01 17:00:00,51.3,43.0,8.300000
40,2020-06-01 17:00:00,40.8,37.0,3.800000
41,2020-05-01 17:00:00,35.3,35.0,0.300000
42,2020-04-01 17:00:00,37.4,41.2,-3.800000
43,2020-03-02 17:00:00,45.9,51.0,-5.100000
44,2020-02-03 17:00:00,53.3,50.8,2.500000
45,2020-01-03 17:00:00,51.7,47.5,4.200000
46,2019-12-02 17:00:00,46.7,47.0,-0.300000
47,2019-11-01 17:00:00,45.5,49.9,-4.400000
48,2019-10-01 17:00:00,49.7,48.5,1.200000
49,2019-09-03 17:00:00,46.0,45.8,0.200000
50,2019-08-01 17:00:00,45.1,49.6,-4.500000
51,2019-07-01 17:00:00,47.9,53.0,-5.100000
52,2019-06-03 17:00:00,53.2,52.0,1.200000
53,2019-05-01 17:00:00,50.0,54.5,-4.500000
54,2019-04-01 17:00:00,54.3,50.1,4.200000
55,2019-03-01 17:00:00,49.4,51.6,-2.200000
56,2019-02-01 17:00:00,49.6,54.5,-4.900000
57,2019-01-03 17:00:00,54.9,57.9,-3.000000
58,2018-12-03 17:00:00,60.7,70.0,-9.300000
59,2018-11-01 17:00:00,71.6,65.0,6.600000
60,2018-10-01 17:00:00,66.9,71.0,-4.100000
61,2018-09-04 17:00:00,72.1,71.1,1.000000
62,2018-08-01 17:00:00,73.2,75.5,-2.300000
63,2018-07-02 17:00:00,76.8,77.0,-0.200000
64,2018-06-01 17:00:00,79.5,77.6,1.900000
65,2018-05-01 17:00:00,79.3,78.6,0.700000
66,2018-04-02 17:00:00,78.1,72.6,5.500000
67,2018-03-01 17:00:00,74.2,70.5,3.700000
68,2018-02-01 17:00:00,72.7,68.0,4.700000
69,2018-01-03 17:00:00,69.0,64.8,4.200000
70,2017-12-01 17:00:00,65.5,67.0,-1.500000
71,2017-11-01 17:00:00,68.5,68.0,0.500000
72,2017-10-02 17:00:00,71.5,64.0,7.500000
73,2017-09-01 17:00:00,62.0,62.0,0.000000
74,2017-08-01 17:00:00,62.0,55.5,6.500000
75,2017-07-03 17:00:00,55.0,58.8,-3.800000
76,2017-06-01 17:00:00,60.5,66.4,-5.900000
77,2017-05-01 17:00:00,68.5,67.7,0.800000
78,2017-04-03 17:00:00,70.5,66.0,4.500000
79,2017-03-01 17:00:00,68.0,68.0,0.000000
80,2017-02-01 17:00:00,69.0,66.0,3.000000
81,2017-01-03 17:00:00,65.5,55.5,10.000000
82,2016-12-01 17:00:00,54.5,54.0,0.500000
83,2016-11-01 17:00:00,54.5,54.0,0.500000
84,2016-10-03 17:00:00,53.0,53.0,0.000000
85,2016-09-01 17:00:00,53.0,54.5,-1.500000
86,2016-08-01 17:00:00,55.0,60.0,-5.000000
87,2016-07-01 17:00:00,60.5,63.5,-3.000000
88,2016-06-01 17:00:00,63.5,59.8,3.700000
89,2016-05-02 17:00:00,59.0,52.0,7.000000
90,2016-04-01 17:00:00,51.5,42.0,9.500000
91,2016-03-01 17:00:00,38.5,34.5,4.000000
92,2016-02-01 17:00:00,33.5,33.5,0.000000
93,2016-01-04 17:00:00,33.5,35.0,-1.500000
94,2015-12-01 17:00:00,35.5,40.0,-4.500000
95,2015-11-02 17:00:00,39.0,38.0,1.000000
96,2015-10-01 17:00:00,38.0,39.3,-1.300000
97,2015-09-01 17:00:00,39.0,42.5,-3.500000
98,2015-08-03 16:25:00,44.0,49.0,-5.000000
99,2015-07-01 17:00:00,49.5,51.0,-1.500000
