,Date,Actual,Consensus,Difference
0,2023-11-10 17:00:00,56.9,59.5,-2.600000
1,2023-10-27 17:00:00,59.3,60.7,-1.400000
2,2023-10-13 17:00:00,60.7,65.5,-4.800000
3,2023-09-29 17:00:00,66.0,66.3,-0.300000
4,2023-09-15 17:00:00,66.3,66.0,0.300000
5,2023-08-25 17:00:00,65.5,67.3,-1.800000
6,2023-08-11 17:00:00,67.3,68.1,-0.800000
7,2023-07-28 17:00:00,68.3,69.4,-1.100000
8,2023-07-14 17:00:00,69.4,61.8,7.600000
9,2023-06-30 17:00:00,61.5,61.3,0.200000
10,2023-06-16 17:00:00,61.3,56.5,4.800000
11,2023-05-26 17:00:00,55.4,53.4,2.000000
12,2023-05-12 17:00:00,53.4,59.8,-6.400000
13,2023-04-28 17:00:00,60.5,61.8,-1.300000
14,2023-04-14 17:00:00,60.3,60.0,0.300000
15,2023-03-31 17:00:00,59.2,61.5,-2.300000
16,2023-03-17 17:00:00,61.5,64.5,-3.000000
17,2023-02-24 17:00:00,64.7,62.3,2.400000
18,2023-02-10 17:00:00,62.3,62.9,-0.600000
19,2023-01-27 17:00:00,62.7,62.0,0.700000
20,2023-01-13 17:00:00,62.0,59.5,2.500000
21,2022-12-09 17:00:00,58.4,56.0,2.400000
22,2022-11-23 17:00:00,55.6,52.7,2.900000
23,2022-11-11 17:00:00,52.7,56.0,-3.300000
24,2022-10-14 17:00:00,56.2,58.5,-2.300000
25,2022-09-16 17:00:00,59.9,59.7,0.200000
26,2022-08-26 17:00:00,58.0,54.9,3.100000
27,2022-08-12 17:00:00,54.9,48.4,6.500000
28,2022-07-29 17:00:00,47.3,47.3,0.000000
29,2022-07-15 17:00:00,47.3,47.0,0.300000
30,2022-06-10 17:00:00,46.8,54.5,-7.700000
31,2022-05-27 17:00:00,55.2,56.3,-1.100000
32,2022-05-13 17:00:00,56.3,63.0,-6.700000
33,2022-04-29 17:00:00,62.5,64.1,-1.600000
34,2022-04-14 17:00:00,64.1,54.2,9.900000
