,Date,Actual,Consensus,Difference
0,2023-11-10 17:00:00,60.4,63.7,-3.300000
1,2023-10-27 17:00:00,63.8,63.0,0.800000
2,2023-10-13 17:00:00,63.0,67.2,-4.200000
3,2023-09-29 17:00:00,68.1,67.7,0.400000
4,2023-09-15 17:00:00,67.7,69.1,-1.400000
5,2023-08-25 17:00:00,69.5,71.2,-1.700000
6,2023-08-11 17:00:00,71.2,71.0,0.200000
7,2023-07-28 17:00:00,71.6,72.6,-1.000000
8,2023-07-14 17:00:00,72.6,65.5,7.100000
9,2023-06-30 17:00:00,64.4,63.9,0.500000
10,2023-06-16 17:00:00,63.9,60.0,3.900000
11,2023-05-26 17:00:00,59.2,57.9,1.300000
12,2023-05-12 17:00:00,57.7,63.0,-5.300000
13,2023-04-28 17:00:00,63.5,63.5,0.000000
14,2023-04-14 17:00:00,63.5,62.0,1.500000
15,2023-03-31 17:00:00,62.0,63.2,-1.200000
16,2023-03-17 17:00:00,63.4,66.9,-3.500000
17,2023-02-24 17:00:00,67.0,66.4,0.600000
18,2023-02-10 17:00:00,66.4,65.0,1.400000
19,2023-01-27 17:00:00,64.9,64.6,0.300000
20,2023-01-13 17:00:00,64.6,60.5,4.100000
21,2022-12-23 17:00:00,59.7,59.1,0.600000
22,2022-12-09 17:00:00,59.1,56.9,2.200000
23,2022-11-23 17:00:00,56.8,55.0,1.800000
24,2022-11-11 17:00:00,54.7,59.5,-4.800000
25,2022-10-28 17:00:00,59.9,59.8,0.100000
26,2022-10-14 17:00:00,59.8,59.0,0.800000
27,2022-09-30 17:00:00,58.6,59.5,-0.900000
28,2022-09-16 17:00:00,59.5,60.0,-0.500000
29,2022-08-26 17:00:00,58.2,55.1,3.100000
30,2022-08-12 17:00:00,55.1,52.5,2.600000
31,2022-07-29 17:00:00,51.5,51.1,0.400000
32,2022-07-15 17:00:00,51.1,49.9,1.200000
33,2022-06-24 17:00:00,50.0,50.2,-0.200000
34,2022-06-10 17:00:00,50.2,58.0,-7.800000
35,2022-05-27 17:00:00,58.4,59.1,-0.700000
36,2022-05-13 17:00:00,59.1,64.0,-4.900000
37,2022-04-29 17:00:00,65.2,65.7,-0.500000
38,2022-04-14 17:00:00,65.7,59.0,6.700000
39,2022-03-25 17:00:00,59.4,59.7,-0.300000
40,2022-03-11 17:00:00,59.7,61.4,-1.700000
41,2022-02-25 17:00:00,62.8,61.7,1.100000
42,2022-02-11 17:00:00,61.7,67.5,-5.800000
43,2022-01-28 17:00:00,67.2,68.7,-1.500000
44,2022-01-14 17:00:00,68.8,70.0,-1.200000
45,2021-12-23 17:00:00,70.6,70.4,0.200000
46,2021-12-10 17:00:00,70.4,67.1,3.300000
47,2021-11-24 17:00:00,67.4,66.8,0.600000
48,2021-11-12 17:00:00,66.8,72.4,-5.600000
49,2021-10-29 17:00:00,71.7,71.4,0.300000
50,2021-10-15 17:00:00,71.4,73.1,-1.700000
