,Date,Actual,Consensus,Difference
0,2023-11-10 17:00:00,4.4,4.0,0.400000
1,2023-10-27 17:00:00,4.2,3.8,0.400000
2,2023-10-13 17:00:00,3.8,3.2,0.600000
3,2023-09-29 17:00:00,3.2,3.1,0.100000
4,2023-09-15 17:00:00,3.1,3.5,-0.400000
5,2023-08-25 17:00:00,3.5,3.3,0.200000
6,2023-08-11 17:00:00,3.3,3.8,-0.500000
7,2023-07-28 17:00:00,3.4,3.4,0.000000
8,2023-07-14 17:00:00,3.4,3.3,0.100000
9,2023-06-30 17:00:00,3.3,3.3,0.000000
10,2023-06-16 17:00:00,3.3,4.4,-1.100000
11,2023-05-26 17:00:00,4.2,4.5,-0.300000
12,2023-05-12 17:00:00,4.5,4.4,0.100000
13,2023-04-14 17:00:00,4.6,3.5,1.100000
14,2023-03-31 17:00:00,3.6,3.8,-0.200000
15,2023-02-24 17:00:00,4.1,4.2,-0.100000
16,2023-02-10 17:00:00,4.2,4.0,0.200000
17,2023-01-27 17:00:00,3.9,4.4,-0.500000
18,2022-12-09 17:00:00,4.6,4.9,-0.300000
19,2022-11-23 17:00:00,4.9,5.1,-0.200000
20,2022-08-26 17:00:00,4.8,5.0,-0.200000
21,2022-08-12 17:00:00,5.0,5.1,-0.100000
22,2022-07-29 17:00:00,5.2,5.2,0.000000
23,2022-05-27 17:00:00,5.3,5.4,-0.100000
24,2022-04-29 17:00:00,5.4,5.4,0.000000
25,2022-03-25 17:00:00,5.4,5.4,0.000000
26,2022-02-25 17:00:00,4.9,5.0,-0.100000
27,2022-01-28 17:00:00,4.9,4.9,0.000000
28,2021-12-23 17:00:00,4.8,4.9,-0.100000
29,2021-12-10 17:00:00,4.9,4.9,0.000000
30,2021-11-24 17:00:00,4.9,4.9,0.000000
31,2021-10-29 17:00:00,4.8,4.8,0.000000
32,2021-10-01 17:00:00,4.6,4.7,-0.100000
33,2021-08-27 17:00:00,4.6,4.6,0.000000
34,2021-07-30 17:00:00,4.7,4.8,-0.100000
35,2021-06-25 17:00:00,4.2,4.0,0.200000
36,2021-05-28 17:00:00,4.6,4.6,0.000000
37,2021-04-30 17:00:00,3.4,3.7,-0.300000
38,2021-02-26 17:00:00,3.3,3.3,0.000000
39,2020-12-23 17:00:00,2.5,2.3,0.200000
40,2020-11-25 17:00:00,2.8,2.8,0.000000
41,2020-10-30 17:00:00,2.6,2.7,-0.100000
42,2020-10-02 17:00:00,2.6,2.7,-0.100000
43,2020-08-28 17:00:00,3.1,3.0,0.100000
44,2020-07-31 17:00:00,3.0,3.1,-0.100000
45,2020-06-26 17:00:00,3.0,3.0,0.000000
46,2020-05-29 17:00:00,3.2,3.0,0.200000
47,2020-04-24 17:00:00,2.1,2.1,0.000000
48,2020-03-27 17:00:00,2.2,2.3,-0.100000
