,Date,Actual,Consensus,Difference
0,2023-11-16 23:00:00,-1.7,89.4,-91.100000
1,2023-10-18 23:00:00,63.5,76.8,-13.300000
2,2023-09-18 23:00:00,8.8,116.5,-107.700000
3,2023-08-15 23:00:00,195.9,107.2,88.700000
4,2023-07-18 23:00:00,25.8,110.2,-84.400000
5,2023-06-15 23:00:00,127.8,107.4,20.400000
6,2023-05-15 23:00:00,133.3,85.4,47.900000
7,2023-04-17 23:00:00,71.0,101.9,-30.900000
8,2023-01-18 23:00:00,171.5,92.7,78.800000
9,2022-10-18 23:00:00,197.9,28.2,169.700000
10,2022-09-16 23:00:00,21.4,121.6,-100.200000
11,2022-05-16 23:00:00,23.1,105.0,-81.900000
12,2022-04-15 23:00:00,141.7,103.5,38.200000
13,2020-03-16 23:00:00,20.9,28.4,-7.500000
14,2020-02-18 23:00:00,85.6,25.5,60.100000
15,2020-01-16 23:00:00,22.9,34.5,-11.600000
16,2019-12-16 23:00:00,32.5,22.6,9.900000
17,2019-10-16 23:00:00,-41.1,74.3,-115.400000
18,2019-08-15 23:00:00,99.1,4.4,94.700000
19,2019-07-16 23:00:00,3.5,32.3,-28.800000
20,2019-06-17 23:00:00,46.9,6.5,40.400000
21,2019-05-15 23:00:00,-28.4,36.3,-64.700000
22,2019-04-15 23:00:00,51.9,-18.2,70.100000
23,2019-02-15 23:00:00,-48.3,34.5,-82.800000
24,2018-11-16 23:00:00,30.8,46.2,-15.400000
25,2018-10-16 23:00:00,131.8,50.3,81.500000
26,2018-09-18 23:00:00,74.8,65.1,9.700000
27,2018-08-15 23:00:00,-36.5,32.3,-68.800000
28,2018-07-17 23:00:00,45.6,34.3,11.300000
29,2018-06-15 23:00:00,93.9,58.5,35.400000
30,2018-05-15 23:00:00,61.8,52.0,9.800000
31,2018-04-16 23:00:00,49.0,43.3,5.700000
32,2018-03-15 23:00:00,62.1,40.2,21.900000
33,2018-02-15 23:00:00,27.3,50.3,-23.000000
34,2018-01-17 23:00:00,57.5,50.1,7.400000
35,2017-11-15 23:00:00,80.9,34.6,46.300000
36,2017-10-17 23:00:00,67.2,14.3,52.900000
37,2017-09-18 23:00:00,1.3,42.3,-41.000000
38,2017-08-15 23:00:00,34.4,28.3,6.100000
39,2017-07-18 23:00:00,91.9,20.3,71.600000
40,2017-06-15 23:00:00,1.8,37.3,-35.500000
41,2017-05-15 23:00:00,59.8,68.3,-8.500000
42,2017-04-17 23:00:00,53.4,12.4,41.000000
43,2017-03-15 23:00:00,6.3,13.4,-7.100000
44,2017-02-15 23:00:00,-12.9,19.1,-32.000000
45,2017-01-18 23:00:00,30.8,21.3,9.500000
46,2016-11-16 23:00:00,-26.2,33.0,-59.200000
47,2016-10-18 23:00:00,48.3,22.0,26.300000
48,2016-09-16 23:00:00,103.9,30.2,73.700000
49,2016-08-15 23:00:00,-3.6,42.0,-45.600000
50,2016-07-18 23:00:00,41.1,31.6,9.500000
51,2016-06-15 23:00:00,-79.6,30.0,-109.600000
