,Date,Actual,Consensus,Difference
0,2023-11-01 15:15:00,113.0,150.0,-37.000000
1,2023-10-04 15:15:00,89.0,153.0,-64.000000
2,2023-08-30 15:15:00,177.0,195.0,-18.000000
3,2023-08-02 15:15:00,324.0,189.0,135.000000
4,2023-07-06 15:15:00,497.0,228.0,269.000000
5,2023-06-01 15:15:00,278.0,170.0,108.000000
6,2023-05-03 15:15:00,296.0,148.0,148.000000
7,2023-04-05 15:15:00,145.0,200.0,-55.000000
8,2023-03-08 15:15:00,242.0,200.0,42.000000
9,2023-02-01 15:15:00,106.0,178.0,-72.000000
10,2023-01-05 15:15:00,235.0,150.0,85.000000
11,2022-11-30 15:15:00,127.0,200.0,-73.000000
12,2022-11-02 15:15:00,239.0,195.0,44.000000
13,2022-10-05 15:15:00,208.0,200.0,8.000000
14,2022-08-31 15:15:00,132.0,300.0,-168.000000
15,2022-06-02 15:15:00,128.0,300.0,-172.000000
16,2022-05-04 15:15:00,247.0,395.0,-148.000000
17,2022-03-30 15:15:00,455.0,450.0,5.000000
18,2022-03-02 15:15:00,475.0,378.0,97.000000
19,2022-02-02 15:15:00,-301.0,207.0,-508.000000
20,2022-01-05 15:15:00,807.0,400.0,407.000000
21,2021-12-01 15:15:00,534.0,525.0,9.000000
22,2021-11-03 15:15:00,571.0,400.0,171.000000
23,2021-10-06 15:15:00,568.0,428.0,140.000000
24,2021-09-01 15:15:00,374.0,613.0,-239.000000
25,2021-08-04 15:15:00,330.0,695.0,-365.000000
26,2021-06-30 15:15:00,692.0,600.0,92.000000
27,2021-06-03 15:15:00,978.0,650.0,328.000000
28,2021-05-05 15:15:00,742.0,800.0,-58.000000
29,2021-03-31 15:15:00,517.0,550.0,-33.000000
30,2021-03-03 15:15:00,117.0,177.0,-60.000000
31,2021-02-03 15:15:00,174.0,49.0,125.000000
32,2021-01-06 15:15:00,-123.0,88.0,-211.000000
33,2020-12-02 15:15:00,307.0,410.0,-103.000000
34,2020-11-04 15:15:00,365.0,650.0,-285.000000
35,2020-09-30 15:15:00,749.0,650.0,99.000000
36,2020-09-02 15:15:00,428.0,950.0,-522.000000
37,2020-08-05 15:15:00,167.0,1500.0,-1333.000000
38,2020-07-01 15:15:00,2369.0,3000.0,-631.000000
39,2020-06-03 15:15:00,-2760.0,-9000.0,6240.000000
40,2020-05-06 15:15:00,-20236.0,-20050.0,-186.000000
41,2020-04-01 15:15:00,-27.0,-150.0,123.000000
42,2020-03-04 15:15:00,183.0,170.0,13.000000
43,2020-02-05 15:15:00,291.0,156.0,135.000000
44,2020-01-08 15:15:00,202.0,160.0,42.000000
45,2019-12-04 15:15:00,67.0,140.0,-73.000000
46,2019-10-30 15:15:00,125.0,120.0,5.000000
47,2019-10-02 15:15:00,135.0,140.0,-5.000000
48,2019-09-05 15:15:00,195.0,148.0,47.000000
49,2019-07-31 15:15:00,156.0,150.0,6.000000
50,2019-07-03 15:15:00,102.0,140.0,-38.000000
51,2019-06-05 15:15:00,27.0,180.0,-153.000000
52,2019-05-01 15:15:00,275.0,181.0,94.000000
53,2019-04-03 15:15:00,129.0,184.0,-55.000000
54,2019-03-06 15:15:00,183.0,189.0,-6.000000
55,2019-01-30 15:15:00,213.0,180.0,33.000000
56,2019-01-03 15:15:00,271.0,179.0,92.000000
57,2018-12-06 15:15:00,179.0,196.0,-17.000000
58,2018-10-31 15:15:00,227.0,189.0,38.000000
59,2018-10-03 15:15:00,230.0,187.0,43.000000
60,2018-09-06 15:15:00,163.0,188.0,-25.000000
61,2018-08-01 15:15:00,219.0,186.0,33.000000
62,2018-07-05 15:15:00,177.0,190.0,-13.000000
63,2018-05-30 15:15:00,178.0,186.0,-8.000000
64,2018-05-02 15:15:00,204.0,200.0,4.000000
65,2018-04-04 15:15:00,241.0,208.0,33.000000
66,2018-03-07 15:15:00,235.0,195.0,40.000000
67,2018-01-31 15:15:00,234.0,186.0,48.000000
68,2018-01-04 15:15:00,250.0,191.0,59.000000
69,2017-12-06 15:15:00,190.0,185.0,5.000000
70,2017-11-01 15:15:00,235.0,200.0,35.000000
71,2017-10-04 15:15:00,135.0,125.0,10.000000
72,2017-08-30 15:15:00,237.0,183.0,54.000000
73,2017-08-02 15:15:00,178.0,185.0,-7.000000
74,2017-07-06 15:15:00,158.0,185.0,-27.000000
75,2017-06-01 15:15:00,253.0,185.0,68.000000
76,2017-05-03 15:15:00,177.0,175.0,2.000000
77,2017-04-05 15:15:00,263.0,187.0,76.000000
78,2017-03-08 15:15:00,298.0,190.0,108.000000
79,2017-02-01 15:15:00,246.0,165.0,81.000000
80,2017-01-05 15:15:00,153.0,170.0,-17.000000
81,2016-11-30 15:15:00,216.0,165.0,51.000000
82,2016-11-02 15:15:00,147.0,165.0,-18.000000
83,2016-10-05 15:15:00,154.0,166.0,-12.000000
84,2016-08-31 15:15:00,177.0,175.0,2.000000
85,2016-08-03 15:15:00,179.0,170.0,9.000000
86,2016-07-07 15:15:00,172.0,159.0,13.000000
87,2016-06-02 15:15:00,173.0,175.0,-2.000000
88,2016-05-04 15:15:00,156.0,196.0,-40.000000
89,2016-03-30 15:15:00,200.0,194.0,6.000000
90,2016-03-02 15:15:00,214.0,190.0,24.000000
91,2016-02-03 15:15:00,205.0,195.0,10.000000
92,2016-01-06 15:15:00,257.0,192.0,65.000000
