,Date,Actual,Consensus,Difference
0,2023-11-03 15:30:00,150.0,180.0,-30.000000
1,2023-10-06 15:30:00,336.0,170.0,166.000000
2,2023-09-01 15:30:00,187.0,170.0,17.000000
3,2023-08-04 15:30:00,187.0,200.0,-13.000000
4,2023-07-07 15:30:00,209.0,225.0,-16.000000
5,2023-06-02 15:30:00,339.0,180.0,159.000000
6,2023-05-05 15:30:00,253.0,180.0,73.000000
7,2023-04-07 15:30:00,236.0,239.0,-3.000000
8,2023-03-10 15:30:00,311.0,205.0,106.000000
9,2023-02-03 15:30:00,517.0,185.0,332.000000
10,2023-01-06 15:30:00,223.0,200.0,23.000000
11,2022-12-02 15:30:00,263.0,200.0,63.000000
12,2022-11-04 15:30:00,261.0,200.0,61.000000
13,2022-10-07 15:30:00,263.0,250.0,13.000000
14,2022-09-02 15:30:00,315.0,300.0,15.000000
15,2022-08-05 15:30:00,528.0,250.0,278.000000
16,2022-07-08 15:30:00,372.0,268.0,104.000000
17,2022-06-03 15:30:00,390.0,325.0,65.000000
18,2022-05-06 15:30:00,428.0,391.0,37.000000
19,2022-04-01 15:30:00,431.0,490.0,-59.000000
20,2022-03-04 15:30:00,678.0,400.0,278.000000
21,2022-02-04 15:30:00,467.0,150.0,317.000000
22,2022-01-07 15:30:00,199.0,400.0,-201.000000
23,2021-12-03 15:30:00,210.0,550.0,-340.000000
24,2021-11-05 15:30:00,531.0,450.0,81.000000
25,2021-10-08 15:30:00,194.0,500.0,-306.000000
26,2021-09-03 15:30:00,235.0,750.0,-515.000000
27,2021-08-06 15:30:00,943.0,870.0,73.000000
28,2021-07-02 15:30:00,850.0,700.0,150.000000
29,2021-06-04 15:30:00,559.0,650.0,-91.000000
30,2021-05-07 15:30:00,266.0,978.0,-712.000000
31,2021-04-02 15:30:00,916.0,647.0,269.000000
32,2021-03-05 15:30:00,379.0,182.0,197.000000
33,2021-02-05 15:30:00,49.0,50.0,-1.000000
34,2021-01-08 15:30:00,-140.0,71.0,-211.000000
35,2020-12-04 15:30:00,245.0,469.0,-224.000000
36,2020-11-06 15:30:00,638.0,600.0,38.000000
37,2020-10-02 15:30:00,661.0,850.0,-189.000000
38,2020-09-04 15:30:00,1371.0,1400.0,-29.000000
39,2020-08-07 15:30:00,1763.0,1600.0,163.000000
40,2020-07-02 15:30:00,4800.0,3000.0,1800.000000
41,2020-06-05 15:30:00,2509.0,-8000.0,10509.000000
42,2020-05-08 15:30:00,-20537.0,-22000.0,1463.000000
43,2020-04-03 15:30:00,-701.0,-100.0,-601.000000
44,2020-03-06 14:30:00,273.0,175.0,98.000000
45,2020-02-07 15:30:00,225.0,160.0,65.000000
46,2020-01-10 15:30:00,145.0,164.0,-19.000000
47,2019-12-06 15:30:00,266.0,186.0,80.000000
48,2019-11-01 15:30:00,128.0,89.0,39.000000
49,2019-10-04 15:30:00,136.0,140.0,-4.000000
50,2019-09-06 15:30:00,130.0,160.0,-30.000000
51,2019-08-02 15:30:00,164.0,164.0,0.000000
52,2019-07-05 15:30:00,224.0,160.0,64.000000
53,2019-06-07 15:30:00,75.0,185.0,-110.000000
54,2019-05-03 15:30:00,263.0,181.0,82.000000
55,2019-04-05 15:30:00,196.0,175.0,21.000000
56,2019-03-08 15:30:00,20.0,181.0,-161.000000
57,2019-02-01 15:30:00,304.0,165.0,139.000000
58,2019-01-04 15:30:00,312.0,178.0,134.000000
59,2018-12-07 15:30:00,155.0,200.0,-45.000000
60,2018-11-02 15:30:00,250.0,193.0,57.000000
61,2018-10-05 15:30:00,134.0,185.0,-51.000000
62,2018-09-07 15:30:00,201.0,191.0,10.000000
63,2018-08-03 15:30:00,157.0,193.0,-36.000000
64,2018-07-06 15:30:00,213.0,200.0,13.000000
65,2018-06-01 15:30:00,223.0,189.0,34.000000
66,2018-05-04 15:30:00,164.0,189.0,-25.000000
67,2018-04-06 15:30:00,103.0,193.0,-90.000000
68,2018-03-09 15:30:00,313.0,200.0,113.000000
69,2018-02-02 15:30:00,200.0,184.0,16.000000
70,2018-01-05 15:30:00,148.0,190.0,-42.000000
