,Date,Actual,Consensus,Difference
0,2023-11-02 15:30:00,4.7,4.1,0.600000
1,2023-09-07 15:30:00,3.5,3.7,-0.200000
2,2023-08-03 15:30:00,3.7,2.0,1.700000
3,2023-06-01 15:30:00,-2.1,-2.7,0.600000
4,2023-05-04 15:30:00,-2.7,-1.8,-0.900000
5,2023-03-02 15:30:00,1.7,2.6,-0.900000
6,2023-02-02 15:30:00,3.0,2.4,0.600000
7,2022-12-07 15:30:00,0.8,0.6,0.200000
8,2022-11-03 15:30:00,0.3,0.6,-0.300000
9,2022-09-01 15:30:00,-4.1,-4.5,0.400000
10,2022-08-09 15:30:00,-4.6,-4.7,0.100000
11,2022-06-02 15:30:00,-7.3,-7.5,0.200000
12,2022-05-05 15:30:00,-7.5,-5.4,-2.100000
13,2022-03-03 15:30:00,6.6,6.7,-0.100000
14,2022-02-03 15:30:00,6.6,3.2,3.400000
15,2021-12-07 15:30:00,-5.2,-4.9,-0.300000
16,2021-11-04 15:30:00,-5.0,-3.0,-2.000000
17,2021-09-02 15:30:00,2.1,2.4,-0.300000
18,2021-08-10 15:30:00,2.3,3.5,-1.200000
19,2021-06-03 15:30:00,5.4,5.5,-0.100000
20,2021-05-06 15:30:00,5.4,4.3,1.100000
21,2021-03-04 15:30:00,-4.2,-4.7,0.500000
22,2021-02-04 15:30:00,-4.8,-2.8,-2.000000
23,2020-12-08 15:30:00,4.6,4.9,-0.300000
24,2020-11-05 15:30:00,4.9,5.6,-0.700000
25,2020-09-03 15:30:00,10.1,7.5,2.600000
26,2020-08-14 15:30:00,7.3,1.5,5.800000
27,2020-06-04 15:30:00,-0.9,-2.7,1.800000
28,2020-05-07 15:30:00,-2.5,-5.5,3.000000
29,2020-03-05 15:30:00,1.2,1.4,-0.200000
30,2020-02-06 15:30:00,1.4,1.6,-0.200000
31,2019-12-10 15:30:00,-0.2,-0.1,-0.100000
32,2019-11-06 15:30:00,-0.3,0.9,-1.200000
33,2019-09-05 15:30:00,2.3,2.2,0.100000
34,2019-08-15 15:30:00,2.3,1.5,0.800000
35,2019-06-06 15:30:00,3.4,3.5,-0.100000
36,2019-05-02 15:30:00,3.6,2.2,1.400000
37,2019-03-07 15:30:00,1.9,1.6,0.300000
38,2019-02-06 15:30:00,0.0,1.7,-1.700000
39,2018-12-06 15:30:00,2.3,2.3,0.000000
40,2018-12-06 15:30:00,2.3,2.3,0.000000
41,2018-11-01 15:30:00,2.2,2.2,0.000000
42,2018-09-06 15:30:00,2.9,2.9,0.000000
43,2018-08-15 15:30:00,2.9,2.5,0.400000
44,2018-06-06 15:30:00,0.4,0.7,-0.300000
45,2018-05-03 15:30:00,0.7,0.9,-0.200000
46,2018-03-07 15:30:00,0.0,-0.1,0.100000
47,2018-02-01 15:30:00,-0.1,0.8,-0.900000
48,2017-12-06 15:30:00,3.0,3.3,-0.300000
49,2017-11-02 15:30:00,3.0,2.4,0.600000
50,2017-09-07 15:30:00,1.5,1.3,0.200000
51,2017-08-09 15:30:00,0.9,0.7,0.200000
52,2017-06-05 15:30:00,0.0,-0.2,0.200000
53,2017-05-04 15:30:00,-0.6,0.2,-0.800000
54,2017-03-08 15:30:00,1.3,1.5,-0.200000
55,2017-02-02 15:30:00,1.3,1.0,0.300000
56,2016-12-06 15:30:00,3.1,3.3,-0.200000
57,2016-11-03 15:30:00,3.1,2.0,1.100000
58,2016-09-01 15:30:00,-0.6,-0.6,0.000000
59,2016-08-09 15:30:00,-0.5,0.4,-0.900000
60,2016-06-07 15:30:00,-0.6,-0.6,0.000000
61,2016-05-04 15:30:00,-1.0,-1.4,0.400000
62,2016-03-03 15:30:00,-2.2,-3.2,1.000000
63,2016-02-04 15:30:00,-3.0,-1.8,-1.200000
64,2015-12-02 15:30:00,2.2,2.2,0.000000
65,2015-11-05 15:30:00,1.6,-0.2,1.800000
66,2015-09-02 15:30:00,3.3,2.8,0.500000
67,2015-08-11 15:30:00,1.3,1.6,-0.300000
68,2015-06-04 15:30:00,-3.1,-2.9,-0.200000
69,2015-05-06 15:30:00,-1.9,-1.8,-0.100000
70,2015-03-05 15:30:00,-2.2,-2.3,0.100000
71,2015-02-05 15:30:00,-1.8,0.5,-2.300000
72,2014-12-03 15:30:00,2.3,2.2,0.100000
73,2014-11-06 15:30:00,2.0,1.5,0.500000
74,2014-09-04 15:30:00,2.3,2.5,-0.200000
75,2014-08-08 15:30:00,2.5,1.5,1.000000
76,2014-06-04 15:30:00,-3.2,-2.7,-0.500000
77,2014-05-07 15:30:00,-1.7,-1.0,-0.700000
78,2014-03-06 15:30:00,1.8,2.5,-0.700000
79,2014-02-06 15:30:00,3.2,2.5,0.700000
80,2013-12-16 15:30:00,3.0,2.8,0.200000
81,2013-11-14 15:30:00,1.9,2.2,-0.300000
82,2013-09-05 15:30:00,2.3,1.5,0.800000
83,2013-08-16 15:30:00,0.9,0.6,0.300000
84,2013-06-05 15:30:00,0.5,0.7,-0.200000
85,2013-05-02 15:30:00,0.7,1.2,-0.500000
86,2013-03-07 15:30:00,-1.9,-1.6,-0.300000
87,2013-02-07 15:30:00,-2.0,-1.3,-0.700000
88,2012-12-05 15:30:00,2.9,2.7,0.200000
89,2012-11-01 15:30:00,1.9,1.6,0.300000
90,2012-09-05 15:30:00,2.2,1.8,0.400000
91,2012-08-08 15:30:00,1.6,1.3,0.300000
92,2012-06-06 15:30:00,-0.9,-0.7,-0.200000
93,2012-05-03 15:30:00,-0.5,-0.5,0.000000
94,2012-03-07 15:30:00,0.9,0.8,0.100000
95,2012-02-02 15:30:00,0.7,1.0,-0.300000
96,2011-11-30 15:30:00,2.3,2.6,-0.300000
97,2011-11-03 15:30:00,3.1,2.7,0.400000
98,2011-09-01 15:30:00,-0.7,-0.4,-0.300000
99,2011-08-09 15:30:00,-0.3,-0.6,0.300000
100,2011-06-02 15:30:00,1.8,1.8,0.000000
101,2011-05-05 15:30:00,1.6,1.0,0.600000
102,2011-03-03 15:30:00,2.6,2.6,0.000000
103,2011-02-03 15:30:00,2.6,2.2,0.400000
104,2010-12-01 15:30:00,2.3,2.4,-0.100000
105,2010-11-04 15:30:00,1.9,0.6,1.300000
