,Date,Actual,Consensus,Difference
0,2023-11-16 15:30:00,-5.9,-9.0,3.100000
1,2023-10-19 15:30:00,-9.0,-6.4,-2.600000
2,2023-09-21 15:30:00,-13.5,-0.7,-12.800000
3,2023-08-17 15:30:00,12.0,-10.0,22.000000
4,2023-07-20 15:30:00,-13.5,-10.0,-3.500000
5,2023-06-15 15:30:00,-13.7,-13.5,-0.200000
6,2023-05-18 15:30:00,-10.4,-19.8,9.400000
7,2023-04-20 15:30:00,-31.3,-19.2,-12.100000
8,2023-03-16 15:30:00,-23.2,-15.6,-7.600000
9,2023-02-16 15:30:00,-24.3,-7.4,-16.900000
10,2023-01-19 15:30:00,-8.9,-11.0,2.100000
11,2022-12-15 15:30:00,-13.8,-10.0,-3.800000
12,2022-11-17 15:30:00,-19.4,-6.2,-13.200000
13,2022-10-20 15:30:00,-8.7,-5.0,-3.700000
14,2022-09-15 15:30:00,-9.9,2.8,-12.700000
15,2022-08-18 15:30:00,6.2,-5.0,11.200000
16,2022-07-21 15:30:00,-12.3,-2.5,-9.800000
17,2022-06-16 15:30:00,-3.3,5.5,-8.800000
18,2022-05-19 15:30:00,2.6,16.0,-13.400000
19,2022-04-21 15:30:00,17.6,21.0,-3.400000
20,2022-03-17 15:30:00,27.4,15.0,12.400000
21,2022-02-17 15:30:00,16.0,20.0,-4.000000
22,2022-01-20 15:30:00,23.2,20.0,3.200000
23,2021-12-16 15:30:00,15.4,30.0,-14.600000
24,2021-11-18 15:30:00,39.0,24.0,15.000000
25,2021-10-21 15:30:00,23.8,25.0,-1.200000
26,2021-09-16 15:30:00,30.7,18.8,11.900000
27,2021-08-19 15:30:00,19.4,23.0,-3.600000
28,2021-07-15 15:30:00,21.9,28.0,-6.100000
29,2021-06-17 15:30:00,30.7,31.0,-0.300000
30,2021-05-20 15:30:00,31.5,43.0,-11.500000
31,2021-04-15 15:30:00,50.2,42.0,8.200000
32,2021-03-18 15:30:00,51.8,23.0,28.800000
33,2021-02-18 15:30:00,23.1,20.0,3.100000
34,2021-01-21 15:30:00,26.5,12.0,14.500000
35,2020-12-17 15:30:00,11.1,20.0,-8.900000
36,2020-11-19 15:30:00,26.3,22.0,4.300000
37,2020-10-15 15:30:00,32.3,14.0,18.300000
38,2020-09-17 15:30:00,15.0,15.0,0.000000
39,2020-08-20 15:30:00,17.2,21.0,-3.800000
40,2020-07-16 15:30:00,24.1,20.0,4.100000
41,2020-06-18 15:30:00,27.5,-23.0,50.500000
42,2020-05-21 15:30:00,-43.1,-41.5,-1.600000
43,2020-04-16 15:30:00,-56.6,-30.0,-26.600000
44,2020-03-19 15:30:00,-12.7,10.0,-22.700000
45,2020-02-20 15:30:00,36.7,12.0,24.700000
46,2020-01-16 15:30:00,17.0,3.8,13.200000
47,2019-12-19 15:30:00,0.3,8.0,-7.700000
48,2019-11-21 15:30:00,10.4,7.0,3.400000
49,2019-10-17 15:30:00,5.6,7.3,-1.700000
50,2019-09-19 15:30:00,12.0,11.0,1.000000
