,Date,Actual,Consensus,Difference
0,2023-11-03 16:45:00,50.7,51.0,-0.300000
1,2023-10-04 16:45:00,50.2,50.1,0.100000
2,2023-09-06 16:45:00,50.2,50.4,-0.200000
3,2023-08-23 16:45:00,50.4,52.0,-1.600000
4,2023-08-03 16:45:00,52.0,52.0,0.000000
5,2023-07-24 16:45:00,52.0,53.1,-1.100000
6,2023-07-06 16:45:00,53.2,53.0,0.200000
7,2023-06-23 16:45:00,53.0,54.4,-1.400000
8,2023-06-05 16:45:00,54.3,54.5,-0.200000
9,2023-05-23 16:45:00,54.5,50.0,4.500000
10,2023-05-03 16:45:00,53.4,53.5,-0.100000
11,2023-04-21 16:45:00,53.5,52.8,0.700000
12,2023-04-05 16:45:00,52.3,53.3,-1.000000
13,2023-03-24 16:45:00,53.3,47.5,5.800000
14,2023-03-03 16:45:00,50.1,50.2,-0.100000
15,2023-02-21 16:45:00,50.2,47.5,2.700000
16,2023-02-03 16:45:00,46.8,46.6,0.200000
17,2023-01-05 16:45:00,45.0,44.6,0.400000
18,2022-12-16 16:45:00,44.6,47.0,-2.400000
19,2022-12-05 16:45:00,46.4,46.3,0.100000
20,2022-11-03 16:45:00,48.2,47.3,0.900000
21,2022-10-24 16:45:00,47.3,49.3,-2.000000
22,2022-09-06 16:45:00,44.6,45.0,-0.400000
23,2022-08-23 16:45:00,45.0,49.0,-4.000000
24,2022-08-03 16:45:00,47.7,47.5,0.200000
25,2022-07-06 16:45:00,52.3,51.2,1.100000
26,2022-06-03 16:45:00,53.6,53.8,-0.200000
27,2022-05-04 16:45:00,56.0,55.1,0.900000
28,2022-04-22 16:45:00,55.1,57.0,-1.900000
29,2022-04-05 16:45:00,57.7,58.5,-0.800000
30,2022-03-03 16:45:00,55.9,56.0,-0.100000
31,2022-02-03 16:45:00,51.1,50.8,0.300000
32,2022-01-05 16:45:00,57.0,56.9,0.100000
33,2021-12-03 16:45:00,57.2,56.5,0.700000
34,2021-11-03 16:45:00,57.6,57.3,0.300000
35,2021-10-05 16:45:00,55.0,54.5,0.500000
36,2021-09-23 16:45:00,54.5,58.3,-3.800000
37,2021-09-03 16:45:00,55.4,55.4,0.000000
38,2021-08-23 16:45:00,55.4,58.3,-2.900000
39,2021-08-04 16:45:00,59.9,59.7,0.200000
40,2021-07-06 16:45:00,63.7,63.9,-0.200000
41,2021-06-03 16:45:00,68.7,68.1,0.600000
42,2021-05-05 16:45:00,63.5,62.2,1.300000
43,2021-03-03 16:45:00,59.5,58.8,0.700000
44,2021-01-06 16:45:00,55.3,55.7,-0.400000
45,2020-12-03 16:45:00,58.6,57.9,0.700000
46,2020-11-04 16:45:00,56.3,55.5,0.800000
47,2020-10-05 16:45:00,54.3,54.4,-0.100000
48,2020-09-03 16:45:00,54.6,54.7,-0.100000
49,2020-08-05 16:45:00,50.3,50.0,0.300000
50,2020-07-06 16:45:00,47.9,46.8,1.100000
51,2020-06-03 16:45:00,37.0,36.4,0.600000
52,2020-05-05 16:45:00,27.0,27.4,-0.400000
53,2020-04-03 16:45:00,40.9,40.5,0.400000
54,2020-03-04 16:45:00,49.6,49.6,0.000000
55,2020-02-05 16:45:00,53.3,53.1,0.200000
56,2020-01-24 16:45:00,53.1,52.5,0.600000
57,2020-01-06 16:45:00,52.7,52.2,0.500000
58,2019-12-16 16:45:00,52.2,51.9,0.300000
59,2019-12-04 16:45:00,52.0,51.9,0.100000
60,2019-11-22 16:45:00,51.9,51.9,0.000000
61,2019-11-05 16:45:00,50.9,51.2,-0.300000
62,2019-10-24 16:45:00,51.2,51.6,-0.400000
63,2019-10-03 16:45:00,51.0,51.0,0.000000
64,2019-09-23 16:45:00,51.0,49.6,1.400000
65,2019-09-05 16:45:00,50.7,50.9,-0.200000
66,2019-08-05 16:45:00,52.6,51.6,1.000000
67,2019-07-03 16:45:00,51.5,50.6,0.900000
68,2019-06-05 16:45:00,50.9,50.9,0.000000
69,2019-05-03 16:45:00,53.0,52.8,0.200000
70,2019-04-03 16:45:00,54.6,54.3,0.300000
71,2019-03-05 16:45:00,55.5,55.8,-0.300000
72,2019-02-21 16:45:00,55.8,55.1,0.700000
73,2019-02-05 16:45:00,54.4,54.5,-0.100000
74,2019-01-04 16:45:00,54.4,54.7,-0.300000
75,2018-12-06 16:45:00,54.7,54.4,0.300000
76,2018-11-23 16:45:00,54.4,56.0,-1.600000
77,2018-11-05 16:45:00,54.9,54.8,0.100000
78,2018-10-03 16:45:00,53.9,53.4,0.500000
79,2018-09-21 16:45:00,53.4,55.0,-1.600000
80,2018-09-06 16:45:00,54.7,55.0,-0.300000
81,2018-08-23 16:45:00,55.0,56.3,-1.300000
82,2018-08-03 16:45:00,55.7,55.9,-0.200000
83,2018-07-05 16:45:00,56.2,56.0,0.200000
84,2018-06-22 16:45:00,56.0,55.1,0.900000
85,2018-05-23 16:45:00,55.7,55.0,0.700000
86,2018-04-23 16:45:00,54.8,55.3,-0.500000
87,2018-03-05 16:45:00,55.8,55.9,-0.100000
88,2018-02-21 16:45:00,55.9,54.4,1.500000
89,2018-02-05 16:45:00,53.8,53.9,-0.100000
90,2018-01-24 16:45:00,53.8,53.5,0.300000
