,Date,Actual,Consensus,Difference
0,2023-11-01 16:45:00,50.0,50.0,0.000000
1,2023-10-24 16:45:00,50.0,49.5,0.500000
2,2023-10-02 16:45:00,49.8,48.9,0.900000
3,2023-09-22 16:45:00,48.9,48.0,0.900000
4,2023-09-01 16:45:00,47.9,47.0,0.900000
5,2023-08-23 16:45:00,47.0,49.3,-2.300000
6,2023-08-01 16:45:00,49.0,49.0,0.000000
7,2023-07-24 16:45:00,49.0,46.4,2.600000
8,2023-07-03 16:45:00,46.3,46.3,0.000000
9,2023-06-23 16:45:00,46.3,48.5,-2.200000
10,2023-06-01 16:45:00,48.4,48.5,-0.100000
11,2023-05-23 16:45:00,48.5,50.0,-1.500000
12,2023-05-01 16:45:00,50.2,50.4,-0.200000
13,2023-04-21 16:45:00,50.4,49.0,1.400000
14,2023-04-03 16:45:00,49.2,49.3,-0.100000
15,2023-03-24 16:45:00,49.3,47.0,2.300000
16,2023-03-01 16:45:00,47.3,47.8,-0.500000
17,2023-02-21 16:45:00,47.8,47.1,0.700000
18,2023-02-01 16:45:00,46.9,46.8,0.100000
19,2023-01-24 16:45:00,46.8,46.0,0.800000
20,2023-01-03 16:45:00,46.2,46.2,0.000000
21,2022-12-16 16:45:00,46.2,47.7,-1.500000
22,2022-12-01 16:45:00,47.7,47.6,0.100000
23,2022-11-23 16:45:00,47.6,50.0,-2.400000
24,2022-11-01 16:45:00,50.4,49.9,0.500000
25,2022-10-24 16:45:00,49.9,51.0,-1.100000
26,2022-10-03 16:45:00,52.0,51.8,0.200000
27,2022-09-23 16:45:00,51.8,51.1,0.700000
28,2022-09-01 16:45:00,51.5,51.3,0.200000
29,2022-08-23 16:45:00,51.3,52.0,-0.700000
30,2022-08-01 16:45:00,52.2,52.3,-0.100000
31,2022-07-22 16:45:00,52.3,52.0,0.300000
32,2022-06-23 16:45:00,52.4,56.0,-3.600000
33,2022-06-01 16:45:00,57.0,57.5,-0.500000
34,2022-05-24 16:45:00,57.5,57.5,0.000000
35,2022-04-22 16:45:00,59.7,58.2,1.500000
36,2022-04-01 16:45:00,58.8,58.5,0.300000
37,2022-03-24 16:45:00,58.5,56.3,2.200000
38,2022-03-01 16:45:00,57.3,57.5,-0.200000
39,2022-02-22 16:45:00,57.5,56.0,1.500000
40,2022-02-01 16:45:00,55.5,55.0,0.500000
41,2022-01-24 16:45:00,55.0,56.7,-1.700000
42,2022-01-03 16:45:00,57.7,57.8,-0.100000
43,2021-12-16 16:45:00,57.8,58.5,-0.700000
44,2021-11-23 16:45:00,59.1,59.0,0.100000
45,2021-11-01 16:45:00,58.4,59.2,-0.800000
46,2021-10-22 16:45:00,59.2,60.3,-1.100000
47,2021-10-01 16:45:00,60.7,60.5,0.200000
48,2021-09-23 16:45:00,60.5,61.5,-1.000000
49,2021-08-23 16:45:00,61.2,62.5,-1.300000
50,2021-08-02 16:45:00,63.4,63.1,0.300000
51,2021-07-23 16:45:00,63.1,62.0,1.100000
52,2021-06-23 16:45:00,62.6,61.5,1.100000
53,2021-05-21 16:45:00,61.5,60.2,1.300000
54,2021-04-23 16:45:00,60.6,60.5,0.100000
55,2021-04-01 16:45:00,59.1,59.0,0.100000
56,2021-03-24 16:45:00,59.0,59.3,-0.300000
57,2021-03-01 16:45:00,58.6,58.5,0.100000
58,2021-02-19 16:45:00,58.5,58.5,0.000000
59,2021-01-22 16:45:00,59.1,56.5,2.600000
60,2020-12-16 16:45:00,56.5,55.7,0.800000
61,2020-12-01 16:45:00,56.7,56.7,0.000000
62,2020-11-23 16:45:00,56.7,53.0,3.700000
63,2020-10-23 16:45:00,53.3,53.4,-0.100000
64,2020-10-01 16:45:00,53.2,53.5,-0.300000
65,2020-09-23 16:45:00,53.5,53.1,0.400000
66,2020-09-01 16:45:00,53.1,53.6,-0.500000
67,2020-08-21 16:45:00,53.6,51.9,1.700000
68,2020-08-03 16:45:00,50.9,51.3,-0.400000
69,2020-07-24 16:45:00,51.3,51.5,-0.200000
70,2020-07-01 16:45:00,49.8,49.6,0.200000
71,2020-06-23 16:45:00,49.6,48.0,1.600000
72,2020-06-01 16:45:00,39.8,39.8,0.000000
73,2020-05-21 16:45:00,39.8,38.0,1.800000
74,2020-05-01 16:45:00,36.1,36.9,-0.800000
75,2020-04-23 16:45:00,36.9,38.0,-1.100000
76,2020-04-01 16:45:00,48.5,49.2,-0.700000
77,2020-03-24 16:45:00,49.2,42.8,6.400000
78,2020-03-02 16:45:00,50.7,50.8,-0.100000
79,2020-02-21 16:45:00,50.8,51.5,-0.700000
80,2020-02-03 16:45:00,51.9,51.7,0.200000
81,2020-01-24 16:45:00,51.7,52.5,-0.800000
82,2020-01-02 16:45:00,52.4,52.5,-0.100000
83,2019-12-16 16:45:00,52.5,52.6,-0.100000
84,2019-12-02 16:45:00,52.6,52.2,0.400000
85,2019-11-22 16:45:00,52.2,51.5,0.700000
86,2019-11-01 16:45:00,51.3,51.5,-0.200000
87,2019-10-24 16:45:00,51.5,50.7,0.800000
88,2019-10-01 16:45:00,51.1,51.0,0.100000
89,2019-09-23 16:45:00,51.0,50.3,0.700000
90,2019-09-03 16:45:00,50.3,49.9,0.400000
91,2019-08-22 16:45:00,49.9,50.5,-0.600000
92,2019-08-01 16:45:00,50.4,50.0,0.400000
93,2019-07-24 16:45:00,50.0,51.0,-1.000000
94,2019-07-01 16:45:00,50.6,50.1,0.500000
95,2019-06-21 16:45:00,50.1,50.5,-0.400000
96,2019-06-03 16:45:00,50.5,50.6,-0.100000
97,2019-05-23 16:45:00,50.6,52.5,-1.900000
98,2019-05-01 16:45:00,52.6,52.4,0.200000
99,2019-04-18 16:45:00,52.4,52.8,-0.400000
