,Date,Actual,Consensus,Difference
0,2023-11-01 17:00:00,46.7,49.0,-2.300000
1,2023-10-02 17:00:00,49.0,47.7,1.300000
2,2023-09-01 17:00:00,47.6,47.0,0.600000
3,2023-08-01 17:00:00,46.4,46.8,-0.400000
4,2023-07-03 17:00:00,46.0,47.2,-1.200000
5,2023-06-01 17:00:00,46.9,47.0,-0.100000
6,2023-05-01 17:00:00,47.1,46.8,0.300000
7,2023-04-03 17:00:00,46.3,47.5,-1.200000
8,2023-03-01 17:00:00,47.7,48.0,-0.300000
9,2023-02-01 17:00:00,47.4,48.0,-0.600000
10,2023-01-04 17:00:00,48.4,48.5,-0.100000
11,2022-12-01 17:00:00,49.0,49.8,-0.800000
12,2022-11-01 17:00:00,50.2,50.0,0.200000
13,2022-10-03 17:00:00,50.9,52.2,-1.300000
14,2022-09-01 17:00:00,52.8,52.0,0.800000
15,2022-08-01 17:00:00,52.8,52.0,0.800000
16,2022-07-01 17:00:00,53.0,54.9,-1.900000
17,2022-06-01 17:00:00,56.1,54.5,1.600000
18,2022-05-02 17:00:00,55.4,57.6,-2.200000
19,2022-04-01 17:00:00,57.1,59.0,-1.900000
20,2022-03-01 17:00:00,58.6,58.0,0.600000
21,2022-02-01 17:00:00,57.6,57.5,0.100000
22,2022-01-04 17:00:00,58.7,60.0,-1.300000
23,2021-12-01 17:00:00,61.1,61.0,0.100000
24,2021-11-01 17:00:00,60.8,60.5,0.300000
25,2021-10-01 17:00:00,61.1,59.6,1.500000
26,2021-09-01 17:00:00,59.9,58.6,1.300000
27,2021-08-02 17:00:00,59.5,60.9,-1.400000
28,2021-07-01 17:00:00,60.6,61.0,-0.400000
29,2021-06-01 17:00:00,61.2,60.9,0.300000
30,2021-05-03 17:00:00,60.7,65.0,-4.300000
31,2021-04-01 17:00:00,64.7,61.3,3.400000
32,2021-03-01 17:00:00,60.8,58.8,2.000000
33,2021-02-01 17:00:00,58.7,60.0,-1.300000
34,2021-01-05 17:00:00,60.7,56.6,4.100000
35,2020-12-01 17:00:00,57.5,58.0,-0.500000
36,2020-11-02 17:00:00,59.3,55.8,3.500000
37,2020-10-01 17:00:00,55.4,56.4,-1.000000
38,2020-09-01 17:00:00,56.0,54.5,1.500000
39,2020-08-03 17:00:00,54.2,53.6,0.600000
40,2020-07-01 17:00:00,52.6,49.5,3.100000
41,2020-06-01 17:00:00,43.1,43.0,0.100000
42,2020-05-01 17:00:00,41.5,36.9,4.600000
43,2020-04-01 17:00:00,49.1,45.0,4.100000
44,2020-03-02 17:00:00,50.1,50.5,-0.400000
45,2020-02-03 17:00:00,50.9,48.5,2.400000
46,2020-01-03 17:00:00,47.2,49.0,-1.800000
