,Date,Actual,Consensus,Difference
0,2023-11-03 17:00:00,51.8,53.0,-1.200000
1,2023-10-04 17:00:00,53.6,53.6,0.000000
2,2023-09-06 17:00:00,54.5,52.5,2.000000
3,2023-08-03 17:00:00,52.7,53.0,-0.300000
4,2023-07-06 17:00:00,53.9,51.0,2.900000
5,2023-06-05 17:00:00,50.3,52.2,-1.900000
6,2023-05-03 17:00:00,51.9,51.8,0.100000
7,2023-04-05 17:00:00,51.2,54.5,-3.300000
8,2023-03-03 17:00:00,55.1,54.5,0.600000
9,2023-02-03 17:00:00,55.2,50.4,4.800000
10,2023-01-06 17:00:00,49.6,55.0,-5.400000
11,2022-12-05 17:00:00,56.5,53.3,3.200000
12,2022-11-03 17:00:00,54.4,55.5,-1.100000
13,2022-10-05 17:00:00,56.7,56.0,0.700000
14,2022-09-06 17:00:00,56.9,55.1,1.800000
15,2022-08-03 17:00:00,56.7,53.5,3.200000
16,2022-07-06 17:00:00,55.3,54.3,1.000000
17,2022-06-03 17:00:00,55.9,56.4,-0.500000
18,2022-05-04 17:00:00,57.1,58.5,-1.400000
19,2022-04-05 17:00:00,58.3,58.4,-0.100000
20,2022-03-03 17:00:00,56.5,61.0,-4.500000
21,2022-02-03 17:00:00,59.9,59.5,0.400000
22,2022-01-06 17:00:00,62.0,66.9,-4.900000
23,2021-12-03 17:00:00,69.1,65.0,4.100000
24,2021-11-03 17:00:00,66.7,62.0,4.700000
25,2021-10-05 17:00:00,61.9,60.0,1.900000
26,2021-09-03 17:00:00,61.7,61.5,0.200000
27,2021-08-04 17:00:00,64.1,60.5,3.600000
28,2021-07-06 17:00:00,60.1,63.5,-3.400000
29,2021-06-03 17:00:00,64.0,63.0,1.000000
30,2021-05-05 17:00:00,62.7,64.3,-1.600000
31,2021-04-05 17:00:00,63.7,59.0,4.700000
32,2021-03-03 17:00:00,55.3,58.7,-3.400000
33,2021-02-03 17:00:00,58.7,56.8,1.900000
34,2021-01-07 17:00:00,57.2,54.6,2.600000
35,2020-12-03 17:00:00,55.9,56.0,-0.100000
36,2020-11-04 17:00:00,56.6,57.5,-0.900000
37,2020-10-05 17:00:00,57.8,56.3,1.500000
38,2020-09-03 17:00:00,56.9,57.0,-0.100000
39,2020-08-05 17:00:00,58.1,55.0,3.100000
40,2020-07-06 17:00:00,57.1,50.1,7.000000
41,2020-06-03 17:00:00,45.4,44.0,1.400000
42,2020-05-05 17:00:00,41.8,36.8,5.000000
43,2020-04-03 17:00:00,52.5,44.0,8.500000
44,2020-03-04 17:00:00,57.3,54.9,2.400000
45,2020-02-05 17:00:00,55.5,55.0,0.500000
46,2020-01-07 17:00:00,55.0,54.5,0.500000
47,2019-12-04 17:00:00,53.9,54.5,-0.600000
48,2019-11-05 17:00:00,54.7,53.5,1.200000
49,2019-10-03 17:00:00,52.6,55.0,-2.400000
50,2019-09-05 17:00:00,56.4,54.0,2.400000
51,2019-08-05 17:00:00,53.7,55.5,-1.800000
52,2019-07-03 17:00:00,55.1,56.1,-1.000000
53,2019-06-05 17:00:00,56.9,55.5,1.400000
54,2019-05-03 17:00:00,55.5,57.2,-1.700000
55,2019-04-03 17:00:00,56.1,58.1,-2.000000
56,2019-03-05 17:00:00,59.7,57.3,2.400000
57,2019-02-05 17:00:00,56.7,57.2,-0.500000
58,2019-01-07 17:00:00,57.6,59.6,-2.000000
59,2018-12-06 17:00:00,60.7,59.2,1.500000
60,2018-11-05 17:00:00,60.3,59.3,1.000000
61,2018-10-03 17:00:00,61.6,58.1,3.500000
62,2018-09-06 17:00:00,58.5,57.0,1.500000
63,2018-08-03 17:00:00,55.7,58.6,-2.900000
64,2018-07-05 17:00:00,59.1,58.3,0.800000
65,2018-06-05 17:00:00,58.6,57.9,0.700000
66,2018-05-03 17:00:00,56.8,58.1,-1.300000
67,2018-04-04 17:00:00,58.8,59.0,-0.200000
68,2018-03-05 17:00:00,59.5,58.9,0.600000
69,2018-02-05 17:00:00,59.9,56.5,3.400000
70,2018-01-05 17:00:00,55.9,57.8,-1.900000
71,2017-12-05 17:00:00,57.4,59.0,-1.600000
72,2017-11-03 17:00:00,60.1,58.5,1.600000
73,2017-10-04 17:00:00,59.8,55.5,4.300000
74,2017-09-06 17:00:00,55.3,55.4,-0.100000
75,2017-08-03 17:00:00,53.9,57.0,-3.100000
76,2017-07-06 17:00:00,57.4,56.5,0.900000
77,2017-06-05 17:00:00,56.9,57.0,-0.100000
78,2017-05-03 17:00:00,57.5,55.8,1.700000
79,2017-04-05 17:00:00,55.2,57.0,-1.800000
80,2017-03-03 17:00:00,57.6,56.5,1.100000
81,2017-02-03 17:00:00,56.5,57.0,-0.500000
82,2017-01-05 17:00:00,57.2,56.6,0.600000
83,2016-12-05 17:00:00,57.2,55.4,1.800000
84,2016-11-03 17:00:00,54.8,56.0,-1.200000
85,2016-10-05 17:00:00,57.1,53.0,4.100000
86,2016-09-06 17:00:00,51.4,55.0,-3.600000
87,2016-08-03 17:00:00,55.5,56.0,-0.500000
88,2016-07-06 17:00:00,56.5,53.3,3.200000
89,2016-06-03 17:00:00,52.9,55.5,-2.600000
90,2016-05-04 17:00:00,55.7,54.7,1.000000
91,2016-04-05 17:00:00,54.5,54.0,0.500000
92,2016-03-03 17:00:00,53.4,53.2,0.200000
93,2016-02-03 17:00:00,53.5,55.1,-1.600000
94,2016-01-06 17:00:00,55.3,56.0,-0.700000
95,2015-12-03 17:00:00,55.9,58.0,-2.100000
96,2015-11-04 17:00:00,59.1,56.5,2.600000
97,2015-10-05 17:00:00,56.9,57.5,-0.600000
98,2015-09-03 17:00:00,59.0,58.1,0.900000
99,2015-08-05 17:00:00,60.3,56.2,4.100000
100,2015-07-06 17:00:00,56.0,56.2,-0.200000
101,2015-06-03 17:00:00,55.7,57.0,-1.300000
102,2015-05-05 17:00:00,57.8,56.2,1.600000
103,2015-04-06 17:00:00,56.5,56.5,0.000000
104,2015-03-04 17:00:00,56.9,56.5,0.400000
105,2015-02-04 17:00:00,56.7,56.3,0.400000
106,2015-01-06 17:00:00,56.2,58.0,-1.800000
107,2014-12-03 17:00:00,59.3,57.5,1.800000
108,2014-11-05 17:00:00,57.1,58.0,-0.900000
109,2014-10-03 17:00:00,58.6,58.5,0.100000
110,2014-09-04 17:00:00,59.6,57.5,2.100000
