,Date,Actual,Consensus,Difference
0,2023-11-03 16:45:00,50.6,50.9,-0.300000
1,2023-10-24 16:45:00,50.9,49.8,1.100000
2,2023-10-04 16:45:00,50.1,50.2,-0.100000
3,2023-09-22 16:45:00,50.2,50.6,-0.400000
4,2023-09-06 16:45:00,50.5,51.0,-0.500000
5,2023-08-23 16:45:00,51.0,52.3,-1.300000
6,2023-08-03 16:45:00,52.3,52.4,-0.100000
7,2023-07-24 16:45:00,52.4,54.0,-1.600000
8,2023-07-06 16:45:00,54.4,54.1,0.300000
9,2023-06-23 16:45:00,54.1,54.0,0.100000
10,2023-06-05 16:45:00,54.9,55.1,-0.200000
11,2023-05-23 16:45:00,55.1,52.6,2.500000
12,2023-05-03 16:45:00,53.6,53.7,-0.100000
13,2023-04-21 16:45:00,53.7,51.5,2.200000
14,2023-04-05 16:45:00,52.6,53.8,-1.200000
15,2023-03-24 16:45:00,53.8,50.5,3.300000
16,2023-03-03 16:45:00,50.6,50.5,0.100000
17,2023-02-21 16:45:00,50.5,47.2,3.300000
18,2023-02-03 16:45:00,46.8,46.6,0.200000
19,2023-01-24 16:45:00,46.6,45.0,1.600000
20,2023-01-05 16:45:00,44.7,44.4,0.300000
21,2022-12-16 16:45:00,44.4,46.8,-2.400000
22,2022-12-05 16:45:00,46.2,46.1,0.100000
23,2022-11-23 16:45:00,46.1,47.9,-1.800000
24,2022-11-03 16:45:00,47.8,46.6,1.200000
25,2022-10-24 16:45:00,46.6,49.2,-2.600000
26,2022-10-05 16:45:00,49.3,49.2,0.100000
27,2022-09-23 16:45:00,49.2,45.0,4.200000
28,2022-09-06 16:45:00,43.7,44.3,-0.600000
29,2022-08-23 16:45:00,44.1,49.2,-5.100000
30,2022-08-03 16:45:00,47.3,47.0,0.300000
31,2022-07-22 16:45:00,47.0,52.6,-5.600000
32,2022-07-06 16:45:00,52.7,51.6,1.100000
33,2022-06-23 16:45:00,51.6,53.5,-1.900000
34,2022-06-03 16:45:00,53.4,53.5,-0.100000
35,2022-05-24 16:45:00,53.5,55.2,-1.700000
36,2022-05-04 16:45:00,55.6,54.7,0.900000
37,2022-04-22 16:45:00,54.7,58.0,-3.300000
38,2022-04-05 16:45:00,58.0,58.9,-0.900000
39,2022-03-24 16:45:00,58.9,56.0,2.900000
40,2022-03-03 16:45:00,56.5,56.7,-0.200000
41,2022-02-22 16:45:00,56.7,53.0,3.700000
42,2022-02-03 16:45:00,51.2,50.9,0.300000
43,2022-01-24 16:45:00,50.9,55.0,-4.100000
44,2022-01-05 16:45:00,57.6,57.5,0.100000
45,2021-12-16 16:45:00,57.5,58.5,-1.000000
46,2021-12-03 16:45:00,58.0,57.0,1.000000
47,2021-11-23 16:45:00,57.0,59.0,-2.000000
48,2021-11-03 16:45:00,58.7,58.2,0.500000
49,2021-10-22 16:45:00,58.2,55.1,3.100000
50,2021-10-05 16:45:00,54.9,54.4,0.500000
51,2021-09-23 16:45:00,54.4,55.0,-0.600000
