,Date,Actual,Consensus,Difference
0,2023-10-31 16:45:00,44.0,45.0,-1.000000
1,2023-09-29 16:45:00,44.1,47.6,-3.500000
2,2023-08-31 16:45:00,48.7,44.1,4.600000
3,2023-07-31 16:45:00,42.8,43.0,-0.200000
4,2023-06-30 16:45:00,41.5,44.0,-2.500000
5,2023-05-31 16:45:00,40.4,47.0,-6.600000
6,2023-04-28 16:45:00,48.6,43.5,5.100000
7,2023-03-31 16:45:00,43.8,43.4,0.400000
8,2023-02-28 16:45:00,43.6,45.0,-1.400000
9,2023-01-31 16:45:00,44.3,45.0,-0.700000
10,2022-12-30 16:45:00,44.9,40.0,4.900000
11,2022-11-30 16:45:00,37.2,47.0,-9.800000
12,2022-10-31 16:45:00,45.2,47.0,-1.800000
13,2022-09-30 16:45:00,45.7,51.8,-6.100000
14,2022-08-31 16:45:00,52.2,52.0,0.200000
15,2022-07-29 16:45:00,52.1,55.0,-2.900000
16,2022-06-30 16:45:00,56.0,58.0,-2.000000
17,2022-05-31 16:45:00,60.3,55.0,5.300000
18,2022-04-29 16:45:00,56.4,62.0,-5.600000
19,2022-03-31 16:45:00,62.9,57.0,5.900000
20,2022-02-28 16:45:00,56.3,63.0,-6.700000
21,2022-01-31 16:45:00,65.2,61.7,3.500000
22,2021-12-30 16:45:00,63.1,62.0,1.100000
23,2021-11-30 16:45:00,61.8,67.0,-5.200000
24,2021-10-29 16:45:00,68.4,63.5,4.900000
25,2021-09-30 16:45:00,64.7,65.0,-0.300000
26,2021-08-31 16:45:00,66.8,68.0,-1.200000
27,2021-07-30 16:45:00,73.4,64.6,8.800000
28,2021-06-30 16:45:00,66.1,70.0,-3.900000
29,2021-05-28 16:45:00,75.2,68.0,7.200000
30,2021-04-30 16:45:00,72.1,65.3,6.800000
31,2021-03-31 16:45:00,66.3,60.7,5.600000
32,2021-02-26 16:45:00,59.5,61.1,-1.600000
33,2021-01-29 16:45:00,63.8,58.5,5.300000
34,2020-12-30 16:45:00,59.5,57.0,2.500000
35,2020-11-30 16:45:00,58.2,59.0,-0.800000
36,2020-10-30 16:45:00,61.1,58.0,3.100000
37,2020-09-30 16:45:00,62.4,52.0,10.400000
38,2020-08-28 16:45:00,51.2,52.0,-0.800000
39,2020-07-31 16:45:00,51.9,43.9,8.000000
40,2020-06-30 16:45:00,36.6,45.0,-8.400000
41,2020-05-29 16:45:00,32.3,40.0,-7.700000
42,2020-04-30 16:45:00,35.4,38.0,-2.600000
43,2020-03-31 16:45:00,47.8,40.0,7.800000
44,2020-02-28 16:45:00,49.0,45.9,3.100000
45,2020-01-31 16:45:00,42.9,48.8,-5.900000
46,2019-12-30 16:45:00,48.9,48.0,0.900000
47,2019-11-27 16:45:00,46.3,47.0,-0.700000
48,2019-10-31 16:45:00,43.2,48.4,-5.200000
49,2019-09-30 16:45:00,47.1,50.2,-3.100000
50,2019-08-30 16:45:00,50.4,48.1,2.300000
51,2019-07-31 16:45:00,44.4,50.6,-6.200000
52,2019-06-28 16:45:00,49.7,53.1,-3.400000
53,2019-05-31 16:45:00,54.2,55.1,-0.900000
54,2019-04-30 16:45:00,52.6,59.1,-6.500000
55,2019-03-29 16:45:00,58.7,61.0,-2.300000
56,2019-02-28 16:45:00,64.7,58.1,6.600000
57,2019-01-31 16:45:00,56.7,61.5,-4.800000
58,2018-12-28 16:45:00,65.4,62.0,3.400000
59,2018-11-30 16:45:00,66.4,58.6,7.800000
60,2018-10-31 16:45:00,58.4,60.3,-1.900000
61,2018-09-28 16:45:00,60.4,62.3,-1.900000
62,2018-08-31 16:45:00,63.6,63.0,0.600000
63,2018-07-31 16:45:00,65.5,61.9,3.600000
64,2018-06-29 16:45:00,64.1,60.0,4.100000
65,2018-05-31 16:45:00,62.7,58.2,4.500000
66,2018-04-30 16:45:00,57.6,58.2,-0.600000
67,2018-03-29 16:45:00,57.4,62.1,-4.700000
68,2018-02-28 16:45:00,61.9,64.2,-2.300000
69,2018-01-31 16:45:00,65.7,64.2,1.500000
70,2017-12-28 16:45:00,67.6,62.0,5.600000
71,2017-11-30 16:45:00,63.9,63.0,0.900000
72,2017-10-31 16:45:00,66.2,61.0,5.200000
73,2017-09-29 16:45:00,65.2,58.5,6.700000
74,2017-08-31 16:45:00,58.9,58.5,0.400000
75,2017-07-31 16:45:00,58.9,60.0,-1.100000
76,2017-06-30 16:45:00,65.7,58.0,7.700000
77,2017-05-31 16:45:00,59.4,57.0,2.400000
78,2017-04-28 16:45:00,58.3,56.4,1.900000
79,2017-03-31 16:45:00,57.7,56.9,0.800000
80,2017-02-28 16:45:00,57.4,53.0,4.400000
81,2017-01-31 16:45:00,50.3,55.0,-4.700000
82,2016-12-30 16:45:00,54.6,57.0,-2.400000
83,2016-11-30 16:45:00,57.6,52.0,5.600000
