,Date,Actual,Consensus,Difference
0,2023-10-17 15:30:00,0.6,0.1,0.500000
1,2023-08-15 15:30:00,1.0,0.2,0.800000
2,2023-07-18 15:30:00,0.6,-0.3,0.900000
3,2023-06-15 15:30:00,0.2,0.0,0.200000
4,2023-05-16 15:30:00,0.7,0.3,0.400000
5,2023-04-14 15:30:00,-0.3,-0.3,0.000000
6,2023-03-15 15:30:00,0.5,-0.3,0.800000
7,2023-02-15 15:30:00,1.7,0.8,0.900000
8,2023-01-18 15:30:00,-0.7,-0.3,-0.400000
9,2022-12-15 15:30:00,-0.2,0.2,-0.400000
10,2022-11-16 15:30:00,0.7,0.3,0.400000
11,2022-10-14 15:30:00,0.4,0.3,0.100000
12,2022-08-17 15:30:00,0.8,0.6,0.200000
13,2022-07-15 15:30:00,0.8,0.3,0.500000
14,2022-06-15 15:30:00,0.0,0.5,-0.500000
15,2022-05-17 15:30:00,1.0,0.5,0.500000
16,2022-04-14 15:30:00,-0.1,0.2,-0.300000
17,2022-03-16 15:30:00,-1.2,0.4,-1.600000
18,2022-02-16 15:30:00,4.8,1.0,3.800000
19,2022-01-14 15:30:00,-3.1,0.1,-3.200000
20,2021-12-15 15:30:00,-0.1,0.7,-0.800000
21,2021-11-16 15:30:00,1.6,0.9,0.700000
22,2021-10-15 15:30:00,0.8,0.4,0.400000
23,2021-09-16 15:30:00,2.5,-0.1,2.600000
24,2021-08-17 15:30:00,-1.0,-0.1,-0.900000
25,2021-07-16 15:30:00,1.1,0.4,0.700000
26,2021-06-15 15:30:00,-0.7,-0.6,-0.100000
27,2021-05-14 15:30:00,-1.5,-0.2,-1.300000
28,2021-04-15 15:30:00,6.9,6.3,0.600000
29,2021-03-16 15:30:00,-3.5,-0.9,-2.600000
30,2021-02-17 15:30:00,6.0,0.8,5.200000
31,2021-01-15 15:30:00,-1.9,0.1,-2.000000
32,2020-12-16 15:30:00,-0.5,0.2,-0.700000
33,2020-11-17 15:30:00,0.1,0.5,-0.400000
34,2020-10-16 15:30:00,1.4,0.2,1.200000
35,2020-09-16 15:30:00,-0.1,0.5,-0.600000
36,2020-08-14 15:30:00,1.4,0.8,0.600000
37,2020-07-16 15:30:00,5.6,3.6,2.000000
38,2020-06-16 15:30:00,11.0,4.7,6.300000
39,2020-05-15 15:30:00,-15.3,-4.6,-10.700000
40,2020-04-15 15:30:00,1.7,-2.0,3.700000
41,2020-03-17 15:30:00,0.0,0.4,-0.400000
42,2020-02-14 15:30:00,0.0,0.3,-0.300000
43,2020-01-16 15:30:00,0.5,0.4,0.100000
44,2019-12-13 15:30:00,0.1,0.3,-0.200000
45,2019-11-15 15:30:00,0.3,0.3,0.000000
46,2019-10-16 15:30:00,0.0,0.3,-0.300000
47,2019-09-13 15:30:00,0.3,0.3,0.000000
48,2019-08-15 15:30:00,1.0,0.3,0.700000
49,2019-07-16 15:30:00,0.7,0.3,0.400000
50,2019-06-14 15:30:00,0.5,0.4,0.100000
51,2019-05-15 15:30:00,0.0,0.4,-0.400000
52,2019-04-18 15:30:00,1.0,0.4,0.600000
53,2019-04-01 15:30:00,-0.2,0.4,-0.600000
54,2019-03-11 15:30:00,1.1,0.6,0.500000
55,2019-02-14 15:30:00,-1.7,0.4,-2.100000
56,2018-12-14 15:30:00,0.9,0.4,0.500000
57,2018-11-15 15:30:00,0.3,0.4,-0.100000
58,2018-10-15 15:30:00,0.5,0.3,0.200000
59,2018-09-14 15:30:00,0.1,0.4,-0.300000
60,2018-08-15 15:30:00,0.5,0.4,0.100000
61,2018-07-16 15:30:00,0.0,0.4,-0.400000
62,2018-06-14 15:30:00,0.5,0.4,0.100000
63,2018-05-15 15:30:00,0.4,0.4,0.000000
64,2018-04-16 15:30:00,0.4,0.4,0.000000
65,2018-03-14 15:30:00,0.1,0.4,-0.300000
66,2018-02-14 15:30:00,0.0,0.4,-0.400000
67,2018-01-12 15:30:00,0.3,0.4,-0.100000
68,2017-12-14 15:30:00,0.8,0.3,0.500000
69,2017-11-15 15:30:00,0.3,0.4,-0.100000
70,2017-10-13 15:30:00,0.4,0.4,0.000000
71,2017-09-15 15:30:00,-0.2,0.3,-0.500000
72,2017-08-15 15:30:00,0.6,0.4,0.200000
73,2017-07-14 15:30:00,-0.1,0.3,-0.400000
74,2017-06-14 15:30:00,0.0,0.3,-0.300000
75,2017-05-12 15:30:00,0.2,0.4,-0.200000
76,2017-04-14 15:30:00,0.5,0.3,0.200000
77,2017-03-15 15:30:00,0.1,0.2,-0.100000
78,2017-02-15 15:30:00,0.4,0.3,0.100000
79,2017-01-13 15:30:00,0.2,0.4,-0.200000
80,2016-12-14 15:30:00,0.1,0.3,-0.200000
81,2016-11-15 15:30:00,0.8,0.3,0.500000
82,2016-10-14 15:30:00,0.1,0.4,-0.300000
83,2016-09-15 15:30:00,-0.1,0.3,-0.400000
84,2016-08-12 15:30:00,0.0,0.3,-0.300000
85,2016-07-15 15:30:00,0.5,0.3,0.200000
86,2016-06-14 15:30:00,0.4,0.3,0.100000
87,2016-05-13 15:30:00,0.9,0.3,0.600000
88,2016-04-13 15:30:00,0.1,0.3,-0.200000
89,2016-03-15 15:30:00,0.0,0.2,-0.200000
90,2016-02-12 15:30:00,0.6,0.3,0.300000
91,2016-01-15 15:30:00,-0.3,0.3,-0.600000
92,2015-12-11 15:30:00,0.6,0.4,0.200000
93,2015-11-13 15:30:00,0.2,0.4,-0.200000
94,2015-10-14 15:30:00,-0.1,0.3,-0.400000
95,2015-09-15 15:30:00,0.4,0.4,0.000000
96,2015-08-13 15:30:00,0.3,0.5,-0.200000
97,2015-07-14 15:30:00,-0.1,0.4,-0.500000
98,2015-06-11 15:30:00,0.7,0.5,0.200000
99,2015-05-13 15:30:00,0.0,0.5,-0.500000
100,2015-04-14 15:30:00,0.3,0.5,-0.200000
101,2015-03-12 15:30:00,0.0,0.4,-0.400000
102,2015-02-12 15:30:00,0.1,0.4,-0.300000
103,2015-01-14 15:30:00,-0.4,0.4,-0.800000
104,2014-12-11 15:30:00,0.6,0.5,0.100000
105,2014-11-14 15:30:00,0.5,0.4,0.100000
106,2014-10-15 15:30:00,-0.2,0.4,-0.600000
