,Date,Actual,Consensus,Difference
0,2023-11-07 15:30:00,-61.5,-59.9,-1.600000
1,2023-10-05 15:30:00,-58.3,-62.3,4.000000
2,2023-09-06 15:30:00,-65.0,-68.0,3.000000
3,2023-08-08 15:30:00,-65.5,-65.0,-0.500000
4,2023-07-06 15:30:00,-69.0,-69.0,0.000000
5,2023-06-07 15:30:00,-74.6,-75.2,0.600000
6,2023-05-04 15:30:00,-64.2,-63.3,-0.900000
7,2023-04-05 15:30:00,-70.5,-69.0,-1.500000
8,2023-03-08 15:30:00,-68.3,-68.9,0.600000
9,2023-02-07 15:30:00,-67.4,-68.5,1.100000
10,2023-01-05 15:30:00,-61.5,-73.0,11.500000
11,2022-12-06 15:30:00,-78.2,-80.0,1.800000
12,2022-11-03 15:30:00,-73.3,-72.2,-1.100000
13,2022-10-05 15:30:00,-67.4,-67.7,0.300000
14,2022-09-07 15:30:00,-70.7,-70.3,-0.400000
15,2022-08-04 15:30:00,-79.6,-80.1,0.500000
16,2022-07-07 15:30:00,-85.5,-84.9,-0.600000
17,2022-06-07 15:30:00,-87.1,-89.5,2.400000
18,2022-05-04 15:30:00,-109.8,-107.0,-2.800000
19,2022-04-05 15:30:00,-89.2,-88.5,-0.700000
20,2022-03-08 15:30:00,-89.7,-87.1,-2.600000
21,2022-02-08 15:30:00,-80.7,-83.0,2.300000
22,2022-01-06 15:30:00,-80.2,-77.1,-3.100000
23,2021-12-07 15:30:00,-67.1,-66.8,-0.300000
24,2021-11-04 15:30:00,-80.9,-80.5,-0.400000
25,2021-10-05 15:30:00,-73.3,-70.5,-2.800000
26,2021-09-02 15:30:00,-70.1,-71.0,0.900000
27,2021-08-05 15:30:00,-75.7,-74.1,-1.600000
28,2021-07-02 15:30:00,-71.2,-71.4,0.200000
29,2021-06-08 15:30:00,-68.9,-69.0,0.100000
30,2021-05-04 15:30:00,-74.4,-74.5,0.100000
31,2021-04-07 15:30:00,-71.1,-70.5,-0.600000
32,2021-03-05 15:30:00,-68.2,-67.5,-0.700000
33,2021-02-05 15:30:00,-66.6,-65.7,-0.900000
34,2021-01-07 15:30:00,-68.1,-65.2,-2.900000
35,2020-12-04 15:30:00,-63.1,-64.8,1.700000
36,2020-11-04 15:30:00,-63.9,-63.8,-0.100000
37,2020-10-06 15:30:00,-67.1,-66.1,-1.000000
38,2020-09-03 15:30:00,-63.6,-58.0,-5.600000
39,2020-08-05 15:30:00,-50.7,-50.1,-0.600000
40,2020-07-02 15:30:00,-54.6,-53.0,-1.600000
41,2020-06-04 15:30:00,-49.4,-49.0,-0.400000
42,2020-05-05 15:30:00,-44.4,-44.0,-0.400000
43,2020-04-02 15:30:00,-39.9,-40.0,0.100000
44,2020-03-06 15:30:00,-45.3,-46.1,0.800000
45,2020-02-05 15:30:00,-48.9,-48.2,-0.700000
46,2020-01-07 15:30:00,-43.1,-43.8,0.700000
47,2019-12-05 15:30:00,-47.2,-48.7,1.500000
48,2019-11-05 15:30:00,-52.5,-52.5,0.000000
49,2019-10-04 15:30:00,-54.9,-54.5,-0.400000
50,2019-09-04 15:30:00,-54.0,-53.5,-0.500000
51,2019-08-02 15:30:00,-55.2,-54.6,-0.600000
52,2019-07-03 15:30:00,-55.5,-53.2,-2.300000
53,2019-06-06 15:30:00,-50.8,-50.7,-0.100000
54,2019-05-09 15:30:00,-50.0,-50.2,0.200000
55,2019-04-17 15:30:00,-49.4,-53.5,4.100000
56,2019-03-27 15:30:00,-51.1,-57.0,5.900000
57,2019-03-06 15:30:00,-59.8,-57.9,-1.900000
58,2019-02-06 15:30:00,-49.3,-54.0,4.700000
59,2018-12-06 15:30:00,-55.5,-55.2,-0.300000
60,2018-11-02 15:30:00,-54.0,-53.5,-0.500000
61,2018-10-05 15:30:00,-53.2,-53.4,0.200000
62,2018-09-05 15:30:00,-50.1,-50.3,0.200000
63,2018-08-03 15:30:00,-46.3,-46.5,0.200000
64,2018-07-06 15:30:00,-43.1,-43.7,0.600000
65,2018-06-06 15:30:00,-46.2,-50.0,3.800000
66,2018-05-03 15:30:00,-49.0,-50.0,1.000000
67,2018-04-05 15:30:00,-57.6,-56.9,-0.700000
68,2018-03-07 15:30:00,-56.6,-52.6,-4.000000
69,2018-02-06 15:30:00,-53.1,-52.1,-1.000000
70,2018-01-05 15:30:00,-50.5,-49.5,-1.000000
71,2017-12-05 15:30:00,-48.7,-47.5,-1.200000
72,2017-11-03 15:30:00,-43.5,-43.2,-0.300000
73,2017-10-05 15:30:00,-42.4,-42.7,0.300000
74,2017-09-06 15:30:00,-43.7,-44.6,0.900000
75,2017-08-04 15:30:00,-43.6,-45.0,1.400000
76,2017-07-06 15:30:00,-46.5,-46.2,-0.300000
77,2017-06-02 15:30:00,-47.6,-46.1,-1.500000
78,2017-05-04 15:30:00,-43.7,-44.5,0.800000
79,2017-04-04 15:30:00,-43.6,-44.8,1.200000
80,2017-03-07 15:30:00,-48.5,-48.5,0.000000
81,2017-02-07 15:30:00,-44.3,-45.0,0.700000
82,2017-01-06 15:30:00,-45.2,-42.5,-2.700000
83,2016-12-06 15:30:00,-42.6,-41.8,-0.800000
84,2016-11-04 15:30:00,-36.44,-37.8,1.360000
85,2016-10-05 15:30:00,-40.73,-39.3,-1.430000
86,2016-09-02 15:30:00,-39.47,-42.7,3.230000
87,2016-08-05 15:30:00,-44.51,-43.1,-1.410000
88,2016-07-06 15:30:00,-41.14,-40.0,-1.140000
89,2016-06-03 15:30:00,-37.4,-41.3,3.900000
90,2016-05-04 15:30:00,-40.44,-41.5,1.060000
91,2016-04-05 15:30:00,-47.06,-46.2,-0.860000
92,2016-03-04 15:30:00,-45.68,-44.0,-1.680000
93,2016-02-05 15:30:00,-43.36,-43.0,-0.360000
94,2016-01-06 15:30:00,-42.37,-44.0,1.630000
95,2015-12-04 15:30:00,-43.89,-40.5,-3.390000
96,2015-11-04 15:30:00,-40.81,-41.1,0.290000
97,2015-10-06 15:30:00,-48.33,-47.4,-0.930000
98,2015-09-03 15:30:00,-41.86,-42.4,0.540000
99,2015-08-05 15:30:00,-43.84,-42.8,-1.040000
100,2015-07-07 15:30:00,-41.87,-42.6,0.730000
101,2015-06-03 15:30:00,-40.88,-44.0,3.120000
102,2015-05-05 15:30:00,-51.37,-41.2,-10.170000
103,2015-04-02 15:30:00,-35.44,-41.2,5.760000
104,2015-03-06 15:30:00,-41.8,-41.7,-0.100000
105,2015-02-05 15:30:00,-46.56,-38.0,-8.560000
106,2015-01-07 15:30:00,-39.0,-42.0,3.000000
107,2014-12-05 15:30:00,-43.4,-41.2,-2.200000
108,2014-11-04 15:30:00,-43.03,-40.0,-3.030000
109,2014-10-03 15:30:00,-40.1,-40.9,0.800000
110,2014-09-04 15:30:00,-40.55,-42.2,1.650000
111,2014-08-06 15:30:00,-41.54,-44.7,3.160000
112,2014-07-03 15:30:00,-44.39,-45.0,0.610000
113,2014-06-04 15:30:00,-47.24,-40.8,-6.440000
114,2014-05-06 15:30:00,-40.38,-40.3,-0.080000
115,2014-04-03 15:30:00,-42.3,-38.5,-3.800000
116,2014-03-07 15:30:00,-39.1,-39.0,-0.100000
117,2014-02-06 15:30:00,-38.7,-36.0,-2.700000
118,2014-01-07 15:30:00,-34.25,-40.0,5.750000
119,2013-12-04 15:30:00,-40.64,-40.0,-0.640000
120,2013-11-14 15:30:00,-41.78,-39.0,-2.780000
121,2013-10-24 15:30:00,-38.8,-39.5,0.700000
122,2013-09-04 15:30:00,-39.15,-38.7,-0.450000
123,2013-08-06 15:30:00,-34.22,-43.5,9.280000
124,2013-07-03 15:30:00,-45.03,-40.1,-4.930000
125,2013-06-04 15:30:00,-40.29,-41.0,0.710000
126,2013-05-02 15:30:00,-38.8,-42.0,3.200000
127,2013-04-05 15:30:00,-43.0,-44.6,1.600000
128,2013-03-07 15:30:00,-44.5,-42.6,-1.900000
129,2013-02-08 15:30:00,-38.5,-46.0,7.500000
130,2013-01-11 15:30:00,-48.7,-41.3,-7.400000
131,2012-12-11 15:30:00,-42.2,-42.6,0.400000
132,2012-11-08 15:30:00,-41.6,-45.0,3.400000
133,2012-10-11 15:30:00,-44.2,-44.0,-0.200000
134,2012-09-11 15:30:00,-42.0,-44.0,2.000000
135,2012-08-09 15:30:00,-42.9,-47.5,4.600000
136,2012-07-11 15:30:00,-48.7,-48.5,-0.200000
137,2012-06-08 15:30:00,-50.1,-49.5,-0.600000
138,2012-05-10 15:30:00,-51.8,-50.0,-1.800000
139,2012-04-12 15:30:00,-46.0,-52.0,6.000000
140,2012-03-09 15:30:00,-52.6,-49.0,-3.600000
141,2012-02-10 15:30:00,-48.8,-48.4,-0.400000
142,2012-01-13 15:30:00,-47.8,-44.6,-3.200000
143,2011-12-09 15:30:00,-43.5,-43.5,0.000000
144,2011-11-10 15:30:00,-43.1,-46.2,3.100000
145,2011-10-13 15:30:00,-45.6,-46.1,0.500000
146,2011-09-08 15:30:00,-44.8,-51.0,6.200000
147,2011-08-11 15:30:00,-53.1,-48.0,-5.100000
148,2011-07-12 15:30:00,-50.2,-44.0,-6.200000
149,2011-06-09 15:30:00,-43.7,-48.8,5.100000
150,2011-05-11 15:30:00,-48.2,-47.0,-1.200000
151,2011-04-12 15:30:00,-45.8,-45.7,-0.100000
152,2011-03-10 15:30:00,-46.3,-41.5,-4.800000
153,2011-02-11 15:30:00,-40.6,-40.7,0.100000
154,2011-01-13 15:30:00,-38.3,-40.6,2.300000
155,2010-12-10 15:30:00,-38.7,-44.4,5.700000
156,2010-11-10 15:30:00,-44.0,-45.0,1.000000
157,2010-10-14 15:30:00,-46.3,-44.5,-1.800000
158,2010-09-09 15:30:00,-42.8,-47.2,4.400000
159,2010-08-11 15:30:00,-49.9,-42.5,-7.400000
160,2010-07-13 15:30:00,-42.3,-39.5,-2.800000
161,2010-06-10 15:30:00,-40.3,-41.2,0.900000
162,2010-05-12 15:30:00,-40.4,-40.0,-0.400000
163,2010-04-13 15:30:00,-39.7,-39.0,-0.700000
164,2010-03-11 15:30:00,-37.3,-41.0,3.700000
165,2010-02-10 15:30:00,-40.2,-35.0,-5.200000
166,2010-01-12 15:30:00,-36.4,-34.5,-1.900000
167,2009-12-10 15:30:00,-32.9,-36.5,3.600000
168,2009-11-13 15:30:00,-36.5,-32.0,-4.500000
169,2009-10-09 15:30:00,-30.7,-32.5,1.800000
170,2009-09-10 15:30:00,-32.0,-26.8,-5.200000
171,2009-08-12 15:30:00,-27.0,-28.4,1.400000
172,2009-07-10 15:30:00,-26.0,-30.0,4.000000
173,2009-06-10 15:30:00,-29.2,-28.7,-0.500000
174,2009-05-12 15:30:00,-27.6,-29.2,1.600000
175,2009-04-09 15:30:00,-26.0,-36.7,10.700000
176,2009-03-13 15:30:00,-36.0,-38.4,2.400000
177,2009-02-11 15:30:00,-39.9,-37.0,-2.900000
178,2009-01-13 15:30:00,-40.4,-53.5,13.100000
179,2008-12-11 15:30:00,-57.2,-53.5,-3.700000
180,2008-11-13 15:30:00,-56.5,-56.5,0.000000
181,2008-10-10 15:30:00,-59.1,-59.5,0.400000
182,2008-09-11 15:30:00,-62.2,-58.0,-4.200000
183,2008-08-12 15:30:00,-56.8,-61.8,5.000000
184,2008-07-11 15:30:00,-59.8,-62.5,2.700000
185,2008-06-10 16:30:00,-60.9,-59.5,-1.400000
186,2008-05-09 15:30:00,-58.2,-61.4,3.200000
187,2008-04-10 15:30:00,-62.3,-57.7,-4.600000
188,2008-03-11 15:30:00,-58.2,-59.5,1.300000
189,2008-02-14 10:30:00,0.0,-61.8,61.800000
