,Date,Actual,Consensus,Difference
0,2023-11-02 15:30:00,-0.8,0.7,-1.500000
1,2023-09-07 15:30:00,2.2,1.6,0.600000
2,2023-08-03 15:30:00,1.6,2.6,-1.000000
3,2023-06-01 15:30:00,4.2,6.3,-2.100000
4,2023-05-04 15:30:00,6.3,5.5,0.800000
5,2023-03-02 15:30:00,3.2,1.6,1.600000
6,2023-02-02 15:30:00,1.1,1.5,-0.400000
7,2022-12-07 15:30:00,2.4,3.1,-0.700000
8,2022-11-03 15:30:00,3.5,4.1,-0.600000
9,2022-09-01 15:30:00,10.2,10.7,-0.500000
10,2022-08-09 15:30:00,10.8,9.5,1.300000
11,2022-06-02 15:30:00,12.6,11.6,1.000000
12,2022-05-05 15:30:00,11.6,9.9,1.700000
13,2022-03-03 15:30:00,0.9,0.3,0.600000
14,2022-02-03 15:30:00,0.3,1.5,-1.200000
15,2021-12-07 15:30:00,9.6,8.3,1.300000
16,2021-11-04 15:30:00,8.3,7.0,1.300000
17,2021-09-02 15:30:00,1.3,0.9,0.400000
18,2021-08-10 15:30:00,1.0,1.1,-0.100000
19,2021-06-03 15:30:00,1.7,-0.4,2.100000
20,2021-05-06 15:30:00,-0.3,-0.8,0.500000
21,2021-03-04 15:30:00,6.0,6.6,-0.600000
22,2021-02-04 15:30:00,6.8,4.0,2.800000
23,2020-12-08 15:30:00,-6.6,-8.9,2.300000
24,2020-11-05 15:30:00,-8.9,-11.5,2.600000
25,2020-09-03 15:30:00,9.0,12.1,-3.100000
26,2020-08-14 15:30:00,12.2,6.2,6.000000
27,2020-06-04 15:30:00,5.1,5.0,0.100000
28,2020-05-07 15:30:00,4.8,4.0,0.800000
29,2020-03-05 15:30:00,0.9,1.4,-0.500000
30,2020-02-06 15:30:00,1.4,1.4,0.000000
31,2019-12-10 15:30:00,2.5,3.3,-0.800000
32,2019-11-06 15:30:00,3.6,2.2,1.400000
33,2019-09-05 15:30:00,2.6,2.5,0.100000
34,2019-08-15 15:30:00,2.4,2.0,0.400000
35,2019-06-06 15:30:00,-1.6,-0.8,-0.800000
36,2019-05-02 15:30:00,-0.9,1.5,-2.400000
37,2019-03-07 15:30:00,2.0,1.6,0.400000
38,2018-12-06 15:30:00,0.9,1.1,-0.200000
39,2018-11-01 15:30:00,1.2,1.0,0.200000
40,2018-09-06 15:30:00,-1.0,-0.9,-0.100000
41,2018-08-15 15:30:00,-0.9,0.4,-1.300000
42,2018-06-06 15:30:00,2.9,2.7,0.200000
